"ID","Name","Description","Parent"
"advancedperipherals:ar_googles","","","advancedperipherals:root"
"advancedperipherals:base_toolkit","","","advancedperipherals:root"
"advancedperipherals:end_automata_core","","","advancedperipherals:weak_automata_core"
"advancedperipherals:husbandry_automata_core","","","advancedperipherals:weak_automata_core"
"advancedperipherals:nbt_toolkit","","","advancedperipherals:base_toolkit"
"advancedperipherals:overpowered_automata_core","","","advancedperipherals:weak_automata_core"
"advancedperipherals:recipes/advancedperipheralstab/ar_controller","advancedperipherals:recipes/advancedperipheralstab/ar_controller","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/ar_goggles","advancedperipherals:recipes/advancedperipheralstab/ar_goggles","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/block_reader","advancedperipherals:recipes/advancedperipheralstab/block_reader","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/chat_box","advancedperipherals:recipes/advancedperipheralstab/chat_box","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/chunk_controller","advancedperipherals:recipes/advancedperipheralstab/chunk_controller","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/computer_tool","advancedperipherals:recipes/advancedperipheralstab/computer_tool","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/energy_detector","advancedperipherals:recipes/advancedperipheralstab/energy_detector","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/environment_detector","advancedperipherals:recipes/advancedperipheralstab/environment_detector","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/geo_scanner","advancedperipherals:recipes/advancedperipheralstab/geo_scanner","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/inventory_manager","advancedperipherals:recipes/advancedperipheralstab/inventory_manager","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/memory_card","advancedperipherals:recipes/advancedperipheralstab/memory_card","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/nbt_storage","advancedperipherals:recipes/advancedperipheralstab/nbt_storage","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/overpowered_end_automata_core","advancedperipherals:recipes/advancedperipheralstab/overpowered_end_automata_core","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/overpowered_husbandry_automata_core","advancedperipherals:recipes/advancedperipheralstab/overpowered_husbandry_automata_core","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/overpowered_weak_automata_core","advancedperipherals:recipes/advancedperipheralstab/overpowered_weak_automata_core","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/peripheral_casing","advancedperipherals:recipes/advancedperipheralstab/peripheral_casing","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/player_detector","advancedperipherals:recipes/advancedperipheralstab/player_detector","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/redstone_integrator","advancedperipherals:recipes/advancedperipheralstab/redstone_integrator","<null>","minecraft:recipes/root"
"advancedperipherals:recipes/advancedperipheralstab/weak_automata_core","advancedperipherals:recipes/advancedperipheralstab/weak_automata_core","<null>","minecraft:recipes/root"
"advancedperipherals:root","","","-"
"advancedperipherals:sense_toolkit","","","advancedperipherals:base_toolkit"
"advancedperipherals:weak_automata_core","","","advancedperipherals:root"
"alexsmobs:alexsmobs/acacia_blossom","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/alligator_snapping_turtle","","","alexsmobs:alexsmobs/crocodile"
"alexsmobs:alexsmobs/bald_eagle_challenge","","","alexsmobs:alexsmobs/falconry_hood"
"alexsmobs:alexsmobs/banana","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/blood_sprayer","","","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/breed_crocodile","","","alexsmobs:alexsmobs/crocodile"
"alexsmobs:alexsmobs/breed_hummingbird","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/capsid","","","alexsmobs:alexsmobs/enderiophage"
"alexsmobs:alexsmobs/crimson_mosquito","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/crimson_mosquito_larva","","","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/crimson_mosquito_sick","","","alexsmobs:alexsmobs/crimson_mosquito"
"alexsmobs:alexsmobs/crocodile","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/crocodile_chestplate","","","alexsmobs:alexsmobs/breed_crocodile"
"alexsmobs:alexsmobs/dimensional_carver","","","alexsmobs:alexsmobs/void_worm_kill"
"alexsmobs:alexsmobs/echolocator","","","alexsmobs:alexsmobs/save_cachalot_whale"
"alexsmobs:alexsmobs/elephant_swag","","","alexsmobs:alexsmobs/tame_elephant"
"alexsmobs:alexsmobs/emu","","","alexsmobs:alexsmobs/kangaroo"
"alexsmobs:alexsmobs/emu_dodge","","","alexsmobs:alexsmobs/emu"
"alexsmobs:alexsmobs/ender_flu","","","alexsmobs:alexsmobs/enderiophage"
"alexsmobs:alexsmobs/enderiophage","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/enderiophage_rocket","","","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/endolocator","","","alexsmobs:alexsmobs/echolocator"
"alexsmobs:alexsmobs/falconry_glove","","","alexsmobs:alexsmobs/tame_bald_eagle"
"alexsmobs:alexsmobs/falconry_hood","","","alexsmobs:alexsmobs/falconry_glove"
"alexsmobs:alexsmobs/gongylidia","","","alexsmobs:alexsmobs/stomp_leafcutter_anthill"
"alexsmobs:alexsmobs/grizzly_bear","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/guster","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/gustmaker","","","alexsmobs:alexsmobs/guster"
"alexsmobs:alexsmobs/hemolymph_blaster","","","alexsmobs:alexsmobs/warped_mosco_kill"
"alexsmobs:alexsmobs/hummingbird_feeder","","","alexsmobs:alexsmobs/breed_hummingbird"
"alexsmobs:alexsmobs/kangaroo","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/la_cucaracha","","","alexsmobs:alexsmobs/maraca"
"alexsmobs:alexsmobs/leafcutter_ant_pupa","","","alexsmobs:alexsmobs/gongylidia"
"alexsmobs:alexsmobs/mantis_shrimp_bucket","","","alexsmobs:alexsmobs/tame_mantis_shrimp"
"alexsmobs:alexsmobs/maraca","","","alexsmobs:alexsmobs/rattlesnake"
"alexsmobs:alexsmobs/mysterious_worm","","","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/orcas_might","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/pocket_sand","","","alexsmobs:alexsmobs/guster"
"alexsmobs:alexsmobs/rattlesnake","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/root","","","-"
"alexsmobs:alexsmobs/save_cachalot_whale","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/seagull_steal","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/sopa_de_macaco","","","alexsmobs:alexsmobs/tame_capuchin"
"alexsmobs:alexsmobs/soul_heart","","","alexsmobs:alexsmobs/soul_vulture"
"alexsmobs:alexsmobs/soul_vulture","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/spectre","","","alexsmobs:alexsmobs/soul_heart"
"alexsmobs:alexsmobs/spiked_scute","","","alexsmobs:alexsmobs/alligator_snapping_turtle"
"alexsmobs:alexsmobs/spiked_turtle_shell","","","alexsmobs:alexsmobs/spiked_scute"
"alexsmobs:alexsmobs/stomp_leafcutter_anthill","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/straddleboard","","","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/straddler","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/stradpole_feed","","","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/sunbird_blessing","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_bald_eagle","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_capuchin","","","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/tame_elephant","","","alexsmobs:alexsmobs/acacia_blossom"
"alexsmobs:alexsmobs/tame_elephant_tusked","","","alexsmobs:alexsmobs/tame_elephant"
"alexsmobs:alexsmobs/tame_gorilla","","","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/tame_grizzly_bear","","","alexsmobs:alexsmobs/grizzly_bear"
"alexsmobs:alexsmobs/tame_mantis_shrimp","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_tarantula_hawk","","","alexsmobs:alexsmobs/tarantula_hawk"
"alexsmobs:alexsmobs/tame_warped_toad","","","alexsmobs:alexsmobs/crimson_mosquito_larva"
"alexsmobs:alexsmobs/tarantula_hawk","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tigers_blessing","","","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/void_worm_kill","","","alexsmobs:alexsmobs/void_worm_summon"
"alexsmobs:alexsmobs/void_worm_split","","","alexsmobs:alexsmobs/void_worm_summon"
"alexsmobs:alexsmobs/void_worm_summon","","","alexsmobs:alexsmobs/mysterious_worm"
"alexsmobs:alexsmobs/warped_mosco_kill","","","alexsmobs:alexsmobs/crimson_mosquito_sick"
"astralsorcery:attune_crystal","","","astralsorcery:attune_self"
"astralsorcery:attune_self","","","astralsorcery:find_constellation"
"astralsorcery:attune_trait","","","astralsorcery:attune_crystal"
"astralsorcery:celestial_crystals","","","astralsorcery:rock_crystals"
"astralsorcery:craft_t2_altar","","","astralsorcery:rock_crystals"
"astralsorcery:craft_t3_altar","","","astralsorcery:craft_t2_altar"
"astralsorcery:craft_t4_altar","","","astralsorcery:craft_t3_altar"
"astralsorcery:find_constellation","","","astralsorcery:root"
"astralsorcery:find_minor_constellation","","","astralsorcery:find_weak_constellation"
"astralsorcery:find_weak_constellation","","","astralsorcery:find_constellation"
"astralsorcery:perk_level_large","","","astralsorcery:perk_level_medium"
"astralsorcery:perk_level_medium","","","astralsorcery:perk_level_small"
"astralsorcery:perk_level_small","","","astralsorcery:attune_self"
"astralsorcery:rock_crystals","","","astralsorcery:root"
"astralsorcery:root","","","-"
"autumnity:husbandry/finally_some_good_food","","","minecraft:husbandry/plant_seed"
"autumnity:husbandry/fungivore_diet","","","minecraft:husbandry/breed_an_animal"
"autumnity:husbandry/sneaky_protection","","","minecraft:husbandry/breed_an_animal"
"betteranimalsplus:animal_head_all","","Collect each variant of each animal head","betteranimalsplus:animal_head_variants"
"betteranimalsplus:animal_head_first","","Get your first animal head","betteranimalsplus:root"
"betteranimalsplus:animal_head_variants","","Collect at least one variant of each animal head","betteranimalsplus:animal_head_first"
"betteranimalsplus:bad_fox","","Kill a fox","betteranimalsplus:root"
"betteranimalsplus:badger_attack","","Get dirt thrown at you by a Badger","betteranimalsplus:root"
"betteranimalsplus:bear_killed_player","","Get killed by a bear","betteranimalsplus:bear_punch"
"betteranimalsplus:bear_punch","","Punch a bear","betteranimalsplus:root"
"betteranimalsplus:bear_punch_death","","Punch a bear... to death!","betteranimalsplus:bear_punch"
"betteranimalsplus:befriend_goat","","Feed a goat, and then have it fight for you!","betteranimalsplus:goat_killed_player"
"betteranimalsplus:big_squid_target_player","","Get targeted by a giant or colossal squid","betteranimalsplus:root"
"betteranimalsplus:boar_killed_player","","Get impaled by a wild boar","betteranimalsplus:root"
"betteranimalsplus:collect_bug","","Collect a bottled butterfly and a bottled dragonfly","betteranimalsplus:root"
"betteranimalsplus:crab_disk_retrieved","","Craft the secret crab rave disk","betteranimalsplus:root"
"betteranimalsplus:crab_disk_used","","Play the secret crab rave disk","betteranimalsplus:crab_disk_retrieved"
"betteranimalsplus:goat_killed_player","","Get impaled by an angry goat","betteranimalsplus:root"
"betteranimalsplus:jellyfish_killed","","Take revenge on that awful jellyfish!","betteranimalsplus:jellyfish_sting"
"betteranimalsplus:jellyfish_sting","","Get stung by a jellyfish","betteranimalsplus:root"
"betteranimalsplus:lamprey_succ","","Get too close to a lamprey","betteranimalsplus:root"
"betteranimalsplus:octopus_save_player","","Befriend an Octopus by giving it fish and have it save you from an attacker","betteranimalsplus:root"
"betteranimalsplus:ride_reindeer","","Ride a reindeer","betteranimalsplus:root"
"betteranimalsplus:root","","Start the game with Better Animals Plus installed","-"
"betteranimalsplus:shark_target_player","","Get targeted by a shark","betteranimalsplus:root"
"betteranimalsplus:squirrel_kill_100","","Kill 100 squirrels","betteranimalsplus:root"
"betteranimalsplus:tame_feral_wolf","","Tame a Feral Wolf","betteranimalsplus:root"
"betteranimalsplus:tame_lammergeier","","Tame a Lammergeier","betteranimalsplus:root"
"betteranimalsplus:ultimate_succening","","Get succed by a Lamprey, a bobbit worm, and a zotzpyre","betteranimalsplus:lamprey_succ"
"betteranimalsplus:walrus_disk_retrieved","","Feed the walrus a fried egg","betteranimalsplus:root"
"betteranimalsplus:walrus_disk_used","","Play the secret walrus disk","betteranimalsplus:walrus_disk_retrieved"
"betterendforge:recipes/betterendforge/aeternium_anvil_smithing","betterendforge:recipes/betterendforge/aeternium_anvil_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_axe_smithing","betterendforge:recipes/betterendforge/aeternium_axe_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_block","betterendforge:recipes/betterendforge/aeternium_block","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_boots_smithing","betterendforge:recipes/betterendforge/aeternium_boots_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_chestplate_smithing","betterendforge:recipes/betterendforge/aeternium_chestplate_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_hammer_smithing","betterendforge:recipes/betterendforge/aeternium_hammer_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_helmet_smithing","betterendforge:recipes/betterendforge/aeternium_helmet_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_hoe_smithing","betterendforge:recipes/betterendforge/aeternium_hoe_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_ingot_from_aeternium_block","betterendforge:recipes/betterendforge/aeternium_ingot_from_aeternium_block","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_leggings_smithing","betterendforge:recipes/betterendforge/aeternium_leggings_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_pickaxe_smithing","betterendforge:recipes/betterendforge/aeternium_pickaxe_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_shovel_smithing","betterendforge:recipes/betterendforge/aeternium_shovel_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_sword_handle_smithing","betterendforge:recipes/betterendforge/aeternium_sword_handle_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aeternium_sword_smithing","betterendforge:recipes/betterendforge/aeternium_sword_smithing","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/amber_block","betterendforge:recipes/betterendforge/amber_block","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/amber_gem","betterendforge:recipes/betterendforge/amber_gem","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/amber_gem_from_amber_block","betterendforge:recipes/betterendforge/amber_gem_from_amber_block","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/ancient_emerald_ice","betterendforge:recipes/betterendforge/ancient_emerald_ice","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/andesite_lantern","betterendforge:recipes/betterendforge/andesite_lantern","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/andesite_pedestal","betterendforge:recipes/betterendforge/andesite_pedestal","<null>","minecraft:recipes/root"
"betterendforge:recipes/betterendforge/aurora_crystal","betterendforge:recipes/betterendforge/aurora_crystal","<null>","minecraft:recipes/root"
