"ID","Registry name","Spawns"
0,"minecraft:ocean","{ ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:drowned [weight: 5, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { wyrmroost:butterfly_leviathan [weight: 1, min: 1, max: 1] }; { wyrmroost:silver_glider [weight: 10, min: 1, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:bobbit_worm [weight: 2, min: 1, max: 1] }; { betteranimalsplus:eel_saltwater [weight: 4, min: 1, max: 2] }; { betteranimalsplus:jellyfish [weight: 10, min: 1, max: 1] }; { betteranimalsplus:nautilus [weight: 4, min: 1, max: 1] }; { betteranimalsplus:shark [weight: 4, min: 1, max: 1] }; { betteranimalsplus:whale [weight: 2, min: 1, max: 3] }; { minecraft:dolphin [weight: 1, min: 1, max: 2] }; { minecraft:squid [weight: 1, min: 1, max: 4] }; { upgrade_aquatic:glow_squid [weight: 67, min: 1, max: 1] }; { minecraft:cod [weight: 10, min: 3, max: 6] }; { upgrade_aquatic:nautilus [weight: 51, min: 1, max: 4] }"
1,"minecraft:plains","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { wyrmroost:overworld_drake [weight: 8, min: 1, max: 3] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { supplementaries:firefly [weight: 3, min: 5, max: 9] }"
2,"minecraft:desert","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { alexsmobs:guster [weight: 35, min: 1, max: 2] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { betteranimalsplus:tarantula [weight: 40, min: 1, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { thermal:blitz [weight: 10, min: 1, max: 3] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:rattlesnake [weight: 12, min: 1, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:roadrunner [weight: 9, min: 2, max: 2] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { alexsmobs:tarantula_hawk [weight: 6, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { wyrmroost:lesser_desertwyrm [weight: 11, min: 1, max: 3] }"
3,"minecraft:mountains","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_guardian [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { savageandravage:iceologer [weight: 8, min: 1, max: 1] }; { thermal:basalz [weight: 10, min: 1, max: 3] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:sunbird [weight: 2, min: 1, max: 1] }; { alexsmobs:sunbird [weight: 2, min: 1, max: 1] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { environmental:yak [weight: 20, min: 2, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:emerald_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { wyrmroost:alpine [weight: 2, min: 1, max: 4] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { wyrmroost:royal_red [weight: 1, min: 1, max: 1] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }"
4,"minecraft:forest","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { alexsmobs:tasmanian_devil [weight: 10, min: 1, max: 2] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { environmental:deer [weight: 16, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { wyrmroost:roost_stalker [weight: 7, min: 2, max: 9] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }"
5,"minecraft:taiga","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_guardian [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:hidebehind [weight: 8, min: 1, max: 1] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:crow [weight: 10, min: 3, max: 5] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:grizzly_bear [weight: 8, min: 2, max: 3] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { alexsmobs:raccoon [weight: 10, min: 2, max: 4] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 1] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:icy_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { whisperwoods:hirschgeist [weight: 2, min: 1, max: 1] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }"
6,"minecraft:swamp","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { whisperwoods:zotzpyre [weight: 30, min: 1, max: 1] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:alligator_snapping_turtle [weight: 20, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { alexsmobs:shoebill [weight: 10, min: 1, max: 2] }; { ars_nouveau:carbuncle [weight: 5, min: 1, max: 1] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { ars_nouveau:sylph [weight: 5, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:moose [weight: 8, min: 1, max: 1] }; { environmental:duck [weight: 5, min: 2, max: 4] }; { environmental:slabfish [weight: 8, min: 2, max: 4] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { whisperwoods:wisp [weight: 13, min: 1, max: 3] }; { wyrmroost:canari_wyvern [weight: 9, min: 2, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { supplementaries:firefly [weight: 3, min: 5, max: 9] }; { whisperwoods:moth [weight: 10, min: 1, max: 3] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }; { minecraft:squid [weight: 5, min: 1, max: 2] }; { upgrade_aquatic:perch [weight: 5, min: 1, max: 6] }; { upgrade_aquatic:pike [weight: 5, min: 1, max: 2] }"
7,"minecraft:river","{ alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { alexsmobs:centipede_head [weight: 8, min: 1, max: 1] }; { ars_nouveau:wilden_hunter [weight: 50, min: 1, max: 1] }; { ars_nouveau:wilden_stalker [weight: 50, min: 3, max: 3] }; { eidolon:wraith [weight: 40, min: 1, max: 2] }; { eidolon:zombie_brute [weight: 40, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:drowned [weight: 100, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { vampirism:advanced_vampire [weight: 26, min: 1, max: 1] }; { vampirism:vampire [weight: 80, min: 1, max: 3] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:crocodile [weight: 40, min: 1, max: 2] }; { alexsmobs:platypus [weight: 30, min: 1, max: 2] }; { alexsmobs:platypus [weight: 30, min: 1, max: 2] }; { ars_nouveau:drygmy [weight: 3, min: 1, max: 1] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { environmental:duck [weight: 5, min: 2, max: 4] }; { resourcefulbees:coal_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:creeper_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:diamond_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:dungeon_bee [weight: 8, min: 1, max: 1] }; { resourcefulbees:gold_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:iron_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:lapis_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:redstone_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:rgbee_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:skeleton_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:zombie_bee [weight: 8, min: 0, max: 3] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:cockroach [weight: 4, min: 5, max: 5] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { alexsmobs:fly [weight: 3, min: 2, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }; { minecraft:squid [weight: 2, min: 1, max: 4] }; { minecraft:salmon [weight: 5, min: 1, max: 5] }; { upgrade_aquatic:pike [weight: 11, min: 1, max: 2] }"
8,"minecraft:nether_wastes","{ alexsmobs:bone_serpent [weight: 8, min: 1, max: 1] }; { alexsmobs:bone_serpent [weight: 8, min: 1, max: 1] }; { alexsmobs:dropbear [weight: 19, min: 1, max: 1] }; { alexsmobs:dropbear [weight: 19, min: 1, max: 1] }; { infernalexp:voline [weight: 50, min: 1, max: 3] }; { minecraft:enderman [weight: 1, min: 4, max: 4] }; { minecraft:ghast [weight: 50, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:piglin [weight: 15, min: 4, max: 4] }; { minecraft:zombified_piglin [weight: 100, min: 4, max: 4] }; { minecraft:strider [weight: 60, min: 1, max: 2] }; { resourcefulbees:nether_quartz_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:netherite_bee [weight: 8, min: 0, max: 3] }; { resourcefulbees:pigman_bee [weight: 8, min: 0, max: 3] }"
9,"minecraft:the_end","{ minecraft:enderman [weight: 10, min: 4, max: 4] }; { silentgems:ender_slime [weight: 3, min: 1, max: 2] }; { resourcefulbees:ender_bee [weight: 20, min: 0, max: 3] }; { resourcefulbees:icy_bee [weight: 8, min: 0, max: 3] }"
