"Registry name","Map color (hex)","Map color (int)"
"abnormals_delight:aspen_pantry","#8F7748","9402184"
"abnormals_delight:cherry_pantry","#8F7748","9402184"
"abnormals_delight:driftwood_pantry","#8F7748","9402184"
"abnormals_delight:grimwood_pantry","#8F7748","9402184"
"abnormals_delight:kousa_pantry","#8F7748","9402184"
"abnormals_delight:maple_pantry","#8F7748","9402184"
"abnormals_delight:morado_pantry","#8F7748","9402184"
"abnormals_delight:poise_pantry","#8F7748","9402184"
"abnormals_delight:river_pantry","#8F7748","9402184"
"abnormals_delight:rosewood_pantry","#8F7748","9402184"
"abnormals_delight:willow_pantry","#8F7748","9402184"
"abnormals_delight:wisteria_pantry","#8F7748","9402184"
"abnormals_delight:yucca_pantry","#8F7748","9402184"
"absentbydesign:fence_crimson","#943F61","9715553"
"absentbydesign:fence_log_acacia","#D87F33","14188339"
"absentbydesign:fence_log_birch","#F7E9A3","16247203"
"absentbydesign:fence_log_darkoak","#664C33","6704179"
"absentbydesign:fence_log_jungle","#976D4D","9923917"
"absentbydesign:fence_log_oak","#8F7748","9402184"
"absentbydesign:fence_log_spruce","#815631","8476209"
"absentbydesign:fence_obsidian","#191919","1644825"
"absentbydesign:fence_quartz","#FFFCF5","16776437"
"absentbydesign:fence_red_netherbrick","#700200","7340544"
"absentbydesign:fence_warped","#191919","1644825"
"absentbydesign:gate_blackstone_bricks","#191919","1644825"
"absentbydesign:gate_bricks","#993333","10040115"
"absentbydesign:gate_end_stone_bricks","#F7E9A3","16247203"
"absentbydesign:gate_nether_bricks","#700200","7340544"
"absentbydesign:gate_obsidian","#191919","1644825"
"absentbydesign:gate_prismarine","#4C7F99","5013401"
"absentbydesign:gate_prismarine_brick","#4C7F99","5013401"
"absentbydesign:gate_prismarine_dark","#5CDBD5","6085589"
"absentbydesign:gate_purpur","#B24CD8","11685080"
"absentbydesign:gate_quartz","#FFFCF5","16776437"
"absentbydesign:gate_red_nether_bricks","#700200","7340544"
"absentbydesign:gate_stone_bricks","#707070","7368816"
"absentbydesign:slab_basalt","#191919","1644825"
"absentbydesign:slab_bricks_cracked","#707070","7368816"
"absentbydesign:slab_brown_mushroom","#664C33","6704179"
"absentbydesign:slab_coarse_dirt","#976D4D","9923917"
"absentbydesign:slab_concrete_black","#191919","1644825"
"absentbydesign:slab_concrete_blue","#334CB2","3361970"
"absentbydesign:slab_concrete_brown","#664C33","6704179"
"absentbydesign:slab_concrete_cyan","#4C7F99","5013401"
"absentbydesign:slab_concrete_gray","#4C4C4C","5000268"
"absentbydesign:slab_concrete_green","#667F33","6717235"
"absentbydesign:slab_concrete_light_blue","#6699D8","6724056"
"absentbydesign:slab_concrete_lime","#7FCC19","8375321"
"absentbydesign:slab_concrete_magenta","#B24CD8","11685080"
"absentbydesign:slab_concrete_orange","#D87F33","14188339"
"absentbydesign:slab_concrete_pink","#F27FA5","15892389"
"absentbydesign:slab_concrete_purple","#7F3FB2","8339378"
"absentbydesign:slab_concrete_red","#993333","10040115"
"absentbydesign:slab_concrete_silver","#999999","10066329"
"absentbydesign:slab_concrete_white","#FFFFFF","16777215"
"absentbydesign:slab_concrete_yellow","#E5E533","15066419"
"absentbydesign:slab_crying_obsidian","#191919","1644825"
"absentbydesign:slab_end_stone","#F7E9A3","16247203"
