"Mod name","Registry name","Hardness","Resistance"
"Abnormals Delight","abnormals_delight:aspen_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:cherry_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:driftwood_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:grimwood_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:kousa_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:maple_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:morado_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:poise_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:river_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:rosewood_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:willow_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:wisteria_pantry",2.50,2.50
"Abnormals Delight","abnormals_delight:yucca_pantry",2.50,2.50
"Absent By Design Mod","absentbydesign:fence_crimson",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_log_acacia",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_log_birch",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_log_darkoak",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_log_jungle",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_log_oak",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_log_spruce",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_obsidian",50.00,50.00
"Absent By Design Mod","absentbydesign:fence_quartz",0.80,0.80
"Absent By Design Mod","absentbydesign:fence_red_netherbrick",2.00,2.00
"Absent By Design Mod","absentbydesign:fence_warped",50.00,50.00
"Absent By Design Mod","absentbydesign:gate_blackstone_bricks",1.50,1.50
"Absent By Design Mod","absentbydesign:gate_bricks",2.00,2.00
"Absent By Design Mod","absentbydesign:gate_end_stone_bricks",3.00,3.00
"Absent By Design Mod","absentbydesign:gate_nether_bricks",2.00,2.00
"Absent By Design Mod","absentbydesign:gate_obsidian",50.00,50.00
"Absent By Design Mod","absentbydesign:gate_prismarine",1.50,1.50
"Absent By Design Mod","absentbydesign:gate_prismarine_brick",1.50,1.50
"Absent By Design Mod","absentbydesign:gate_prismarine_dark",1.50,1.50
"Absent By Design Mod","absentbydesign:gate_purpur",1.50,1.50
"Absent By Design Mod","absentbydesign:gate_quartz",0.80,0.80
"Absent By Design Mod","absentbydesign:gate_red_nether_bricks",2.00,2.00
"Absent By Design Mod","absentbydesign:gate_stone_bricks",1.50,1.50
"Absent By Design Mod","absentbydesign:slab_basalt",1.25,1.25
"Absent By Design Mod","absentbydesign:slab_bricks_cracked",1.50,1.50
"Absent By Design Mod","absentbydesign:slab_brown_mushroom",0.00,0.00
"Absent By Design Mod","absentbydesign:slab_coarse_dirt",0.50,0.50
"Absent By Design Mod","absentbydesign:slab_concrete_black",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_blue",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_brown",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_cyan",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_gray",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_green",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_light_blue",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_lime",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_magenta",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_orange",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_pink",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_purple",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_red",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_silver",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_white",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_concrete_yellow",1.80,1.80
"Absent By Design Mod","absentbydesign:slab_crying_obsidian",50.00,50.00
"Absent By Design Mod","absentbydesign:slab_end_stone",3.00,3.00
"Absent By Design Mod","absentbydesign:slab_glass",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_black",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_blue",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_brown",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_cyan",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_gray",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_green",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_light_blue",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_light_gray",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_lime",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_magenta",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_orange",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_pink",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_purple",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_red",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_white",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glass_yellow",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_glowstone",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_lodestone",3.50,3.50
"Absent By Design Mod","absentbydesign:slab_magma",0.50,0.50
"Absent By Design Mod","absentbydesign:slab_mushroom_polished",0.20,0.20
"Absent By Design Mod","absentbydesign:slab_mushroom_stem",0.20,0.20
"Absent By Design Mod","absentbydesign:slab_netherrack",0.40,0.40
"Absent By Design Mod","absentbydesign:slab_obsidian",50.00,50.00
"Absent By Design Mod","absentbydesign:slab_polished_basalt",1.25,1.25
"Absent By Design Mod","absentbydesign:slab_quartz_bricks",0.80,0.80
"Absent By Design Mod","absentbydesign:slab_red_mushroom",0.00,0.00
"Absent By Design Mod","absentbydesign:slab_sea_lantern",0.30,0.30
"Absent By Design Mod","absentbydesign:slab_snow",0.20,0.20
"Absent By Design Mod","absentbydesign:slab_terracotta",1.25,1.25
"Absent By Design Mod","absentbydesign:slab_terracotta_black",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_blue",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_brown",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_cyan",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_gray",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_green",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_light_blue",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_light_gray",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_lime",1.40,1.40
"Absent By Design Mod","absentbydesign:slab_terracotta_magenta",1.40,1.40
