"Mod name","Registry name","Item ID","Display name","Exists"
"Abnormals Delight","abnormals_delight:aspen_pantry","abnormals_delight:aspen_pantry","Aspen Pantry","true"
"Abnormals Delight","abnormals_delight:cherry_pantry","abnormals_delight:cherry_pantry","Cherry Pantry","true"
"Abnormals Delight","abnormals_delight:driftwood_pantry","abnormals_delight:driftwood_pantry","Driftwood Pantry","true"
"Abnormals Delight","abnormals_delight:grimwood_pantry","abnormals_delight:grimwood_pantry","Grimwood Pantry","true"
"Abnormals Delight","abnormals_delight:kousa_pantry","abnormals_delight:kousa_pantry","Kousa Pantry","true"
"Abnormals Delight","abnormals_delight:maple_pantry","abnormals_delight:maple_pantry","Maple Pantry","true"
"Abnormals Delight","abnormals_delight:morado_pantry","abnormals_delight:morado_pantry","Morado Pantry","true"
"Abnormals Delight","abnormals_delight:poise_pantry","abnormals_delight:poise_pantry","Poise Pantry","true"
"Abnormals Delight","abnormals_delight:river_pantry","abnormals_delight:river_pantry","River Pantry","true"
"Abnormals Delight","abnormals_delight:rosewood_pantry","abnormals_delight:rosewood_pantry","Rosewood Pantry","true"
"Abnormals Delight","abnormals_delight:willow_pantry","abnormals_delight:willow_pantry","Willow Pantry","true"
"Abnormals Delight","abnormals_delight:wisteria_pantry","abnormals_delight:wisteria_pantry","Wisteria Pantry","true"
"Abnormals Delight","abnormals_delight:yucca_pantry","abnormals_delight:yucca_pantry","Yucca Pantry","true"
"Absent By Design Mod","absentbydesign:fence_crimson","absentbydesign:fence_crimson","Crimson Stem Fence","true"
"Absent By Design Mod","absentbydesign:fence_log_acacia","absentbydesign:fence_log_acacia","Acacia Log Fence","true"
"Absent By Design Mod","absentbydesign:fence_log_birch","absentbydesign:fence_log_birch","Birch Log Fence","true"
"Absent By Design Mod","absentbydesign:fence_log_darkoak","absentbydesign:fence_log_darkoak","Darkoak Log Fence","true"
"Absent By Design Mod","absentbydesign:fence_log_jungle","absentbydesign:fence_log_jungle","Jungle Log Fence","true"
"Absent By Design Mod","absentbydesign:fence_log_oak","absentbydesign:fence_log_oak","Oak Log Fence","true"
"Absent By Design Mod","absentbydesign:fence_log_spruce","absentbydesign:fence_log_spruce","Spruce Log Fence","true"
"Absent By Design Mod","absentbydesign:fence_obsidian","absentbydesign:fence_obsidian","Obsidian Fence","true"
"Absent By Design Mod","absentbydesign:fence_quartz","absentbydesign:fence_quartz","Quartz Fence","true"
"Absent By Design Mod","absentbydesign:fence_red_netherbrick","absentbydesign:fence_red_netherbrick","Red Netherbrick Fence","true"
"Absent By Design Mod","absentbydesign:fence_warped","absentbydesign:fence_warped","Warped Stem Fence","true"
"Absent By Design Mod","absentbydesign:gate_blackstone_bricks","absentbydesign:gate_blackstone_bricks","Blackstone Brick Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_bricks","absentbydesign:gate_bricks","Brick Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_end_stone_bricks","absentbydesign:gate_end_stone_bricks","Endstone Brick Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_nether_bricks","absentbydesign:gate_nether_bricks","Nether Brick Gate","true"
"Absent By Design Mod","absentbydesign:gate_obsidian","absentbydesign:gate_obsidian","Obsidian Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_prismarine","absentbydesign:gate_prismarine","Prismarine Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_prismarine_brick","absentbydesign:gate_prismarine_brick","Prismarine Brick Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_prismarine_dark","absentbydesign:gate_prismarine_dark","Dark Prismarine Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_purpur","absentbydesign:gate_purpur","Purpur Fence Gate","true"
"Absent By Design Mod","absentbydesign:gate_quartz","absentbydesign:gate_quartz","Quartz Gate","true"
"Absent By Design Mod","absentbydesign:gate_red_nether_bricks","absentbydesign:gate_red_nether_bricks","Red Nether Brick Gate","true"
"Absent By Design Mod","absentbydesign:gate_stone_bricks","absentbydesign:gate_stone_bricks","Stone Brick Fence Gate","true"
"Absent By Design Mod","absentbydesign:slab_basalt","absentbydesign:slab_basalt","Basalt Slab","true"
"Absent By Design Mod","absentbydesign:slab_bricks_cracked","absentbydesign:slab_bricks_cracked","Cracked Bricks Slab","true"
"Absent By Design Mod","absentbydesign:slab_brown_mushroom","absentbydesign:slab_brown_mushroom","Brown Mushroom Slab","true"
"Absent By Design Mod","absentbydesign:slab_coarse_dirt","absentbydesign:slab_coarse_dirt","Coarse Dirt Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_black","absentbydesign:slab_concrete_black","Black Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_blue","absentbydesign:slab_concrete_blue","Blue Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_brown","absentbydesign:slab_concrete_brown","Brown Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_cyan","absentbydesign:slab_concrete_cyan","Cyan Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_gray","absentbydesign:slab_concrete_gray","Gray Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_green","absentbydesign:slab_concrete_green","Green Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_light_blue","absentbydesign:slab_concrete_light_blue","Light Blue Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_lime","absentbydesign:slab_concrete_lime","Lime Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_magenta","absentbydesign:slab_concrete_magenta","Magenta Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_orange","absentbydesign:slab_concrete_orange","Orange Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_pink","absentbydesign:slab_concrete_pink","Pink Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_purple","absentbydesign:slab_concrete_purple","Purple Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_red","absentbydesign:slab_concrete_red","Red Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_silver","absentbydesign:slab_concrete_silver","Light Gray Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_white","absentbydesign:slab_concrete_white","White Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_concrete_yellow","absentbydesign:slab_concrete_yellow","Yellow Concrete Slab","true"
"Absent By Design Mod","absentbydesign:slab_crying_obsidian","absentbydesign:slab_crying_obsidian","Crying Obsidian Slab","true"
"Absent By Design Mod","absentbydesign:slab_end_stone","absentbydesign:slab_end_stone","Endstone Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass","absentbydesign:slab_glass","Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_black","absentbydesign:slab_glass_black","Black Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_blue","absentbydesign:slab_glass_blue","Blue Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_brown","absentbydesign:slab_glass_brown","Brown Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_cyan","absentbydesign:slab_glass_cyan","Cyan Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_gray","absentbydesign:slab_glass_gray","Gray Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_green","absentbydesign:slab_glass_green","Green Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_light_blue","absentbydesign:slab_glass_light_blue","Light Blue Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_light_gray","absentbydesign:slab_glass_light_gray","Light Gray Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_lime","absentbydesign:slab_glass_lime","Lime Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_magenta","absentbydesign:slab_glass_magenta","Magenta Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_orange","absentbydesign:slab_glass_orange","Orange Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_pink","absentbydesign:slab_glass_pink","Pink Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_purple","absentbydesign:slab_glass_purple","Purple Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_red","absentbydesign:slab_glass_red","Red Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_white","absentbydesign:slab_glass_white","White Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glass_yellow","absentbydesign:slab_glass_yellow","Yellow Glass Slab","true"
"Absent By Design Mod","absentbydesign:slab_glowstone","absentbydesign:slab_glowstone","Glowstone Slab","true"
"Absent By Design Mod","absentbydesign:slab_lodestone","absentbydesign:slab_lodestone","Lodestone Slab","true"
"Absent By Design Mod","absentbydesign:slab_magma","absentbydesign:slab_magma","Magma Slab","true"
"Absent By Design Mod","absentbydesign:slab_mushroom_polished","absentbydesign:slab_mushroom_polished","Polished Mushroom Slab","true"
"Absent By Design Mod","absentbydesign:slab_mushroom_stem","absentbydesign:slab_mushroom_stem","Mushroom Stem Slab","true"
"Absent By Design Mod","absentbydesign:slab_netherrack","absentbydesign:slab_netherrack","Netherrack Slab","true"
"Absent By Design Mod","absentbydesign:slab_obsidian","absentbydesign:slab_obsidian","Obsidian Slab","true"
"Absent By Design Mod","absentbydesign:slab_polished_basalt","absentbydesign:slab_polished_basalt","Polished Basalt Slab","true"
"Absent By Design Mod","absentbydesign:slab_quartz_bricks","absentbydesign:slab_quartz_bricks","Quartz Brick Slab","true"
"Absent By Design Mod","absentbydesign:slab_red_mushroom","absentbydesign:slab_red_mushroom","Red Mushroom Slab","true"
"Absent By Design Mod","absentbydesign:slab_sea_lantern","absentbydesign:slab_sea_lantern","Sea Lantern Slab","true"
"Absent By Design Mod","absentbydesign:slab_snow","absentbydesign:slab_snow","Snow Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta","absentbydesign:slab_terracotta","Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_black","absentbydesign:slab_terracotta_black","Black Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_blue","absentbydesign:slab_terracotta_blue","Blue Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_brown","absentbydesign:slab_terracotta_brown","Brown Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_cyan","absentbydesign:slab_terracotta_cyan","Cyan Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_gray","absentbydesign:slab_terracotta_gray","Gray Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_green","absentbydesign:slab_terracotta_green","Green Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_light_blue","absentbydesign:slab_terracotta_light_blue","Light Blue Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_light_gray","absentbydesign:slab_terracotta_light_gray","Light Gray Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_lime","absentbydesign:slab_terracotta_lime","Lime Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_magenta","absentbydesign:slab_terracotta_magenta","Magenta Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_orange","absentbydesign:slab_terracotta_orange","Orange Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_pink","absentbydesign:slab_terracotta_pink","Pink Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_purple","absentbydesign:slab_terracotta_purple","Purple Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_red","absentbydesign:slab_terracotta_red","Red Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_white","absentbydesign:slab_terracotta_white","White Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_terracotta_yellow","absentbydesign:slab_terracotta_yellow","Yellow Terracotta Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_black","absentbydesign:slab_wool_black","Black Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_blue","absentbydesign:slab_wool_blue","Blue Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_brown","absentbydesign:slab_wool_brown","Brown Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_cyan","absentbydesign:slab_wool_cyan","Cyan Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_gray","absentbydesign:slab_wool_gray","Gray Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_green","absentbydesign:slab_wool_green","Green Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_light_blue","absentbydesign:slab_wool_light_blue","Light Blue Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_lime","absentbydesign:slab_wool_lime","Lime Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_magenta","absentbydesign:slab_wool_magenta","Magenta Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_orange","absentbydesign:slab_wool_orange","Orange Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_pink","absentbydesign:slab_wool_pink","Pink Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_purple","absentbydesign:slab_wool_purple","Purple Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_red","absentbydesign:slab_wool_red","Red Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_silver","absentbydesign:slab_wool_silver","Light Gray Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_white","absentbydesign:slab_wool_white","White Wool Slab","true"
"Absent By Design Mod","absentbydesign:slab_wool_yellow","absentbydesign:slab_wool_yellow","Yellow Wool Slab","true"
"Absent By Design Mod","absentbydesign:stairs_basalt","absentbydesign:stairs_basalt","Basalt Stairs","true"
"Absent By Design Mod","absentbydesign:stairs_bricks_cracked","absentbydesign:stairs_bricks_cracked","Bricks Cracked Stairs","true"
