"Index","Name","Translated Name","Icon Item"
0,"building_blocks","Building Blocks","[minecraft:bricks - 'Bricks']"
1,"decorations","Decoration Blocks","[minecraft:peony - 'Peony']"
2,"redstone","Redstone","[minecraft:redstone - 'Redstone Dust']"
3,"transportation","Transportation","[minecraft:powered_rail - 'Powered Rail']"
4,"hotbar","Saved Hotbars","[minecraft:bookshelf - 'Bookshelf']"
5,"search","Search Items","[minecraft:compass - 'Compass']"
6,"misc","Miscellaneous","[minecraft:lava_bucket - 'Lava Bucket']"
7,"food","Foodstuffs","[minecraft:apple - 'Apple']"
8,"tools","Tools","[minecraft:iron_axe - 'Iron Axe']"
9,"combat","Combat","[minecraft:golden_sword - 'Golden Sword']"
10,"brewing","Brewing","[minecraft:potion - 'Water Bottle']"
11,"inventory","Survival Inventory","[minecraft:chest - 'Oak Chest']"
12,"immersivecooking","itemGroup.immersivecooking","[minecraft:baked_potato - 'Baked Potato']"
13,"InfernalTab","Infernal Expansion","[infernalexp:tab_icon - 'item.infernalexp.tab_icon']"
14,"dropthemeat","Drop The Meat","[dropthemeat:raw_llama - 'Raw Llama']"
15,"refinedstorage","Refined Storage","[refinedstorage:creative_controller - 'Creative Controller']"
16,"upgradednetheriteTab","Upgraded Netherite","[upgradednetherite:fire_upgraded_netherite_chestplate - 'Blazerite Chestplate']"
17,"silentgear","Silent Gear","[silentgear:blueprint_paper - 'Blueprint Paper']"
18,"wormhole","Wormhole","[wormhole:advanced_target_device - 'Advanced Target Definition Device']"
19,"disenchanting","Disenchanting","[disenchanting:disenchanter - 'Disenchanter']"
20,"supermultidrills","Super Multi-Drills","[supermultidrills:drill - 'Hardened Stone Drill']"
21,"mekanism","Mekanism","[mekanism:alloy_atomic - 'Atomic Alloy']"
22,"additional_lights","Additional Lights","[additional_lights:al_torch_oak_planks - 'Oak AlTorch']"
23,"immersivepetroleum","Immersive Petroleum","[immersivepetroleum:oil_bucket - 'Bucket of Crude Oil']"
24,"ironchest","Iron Chests","[ironchest:iron_chest - 'Iron Chest']"
25,"Probe","The One Probe","[theoneprobe:probe - 'The One Probe']"
26,"immersiveengineering","Immersive Engineering","[immersiveengineering:wirecoil_copper - 'LV Wire Coil']"
27,"pamhc2crops","Pam's HarvestCraft 2 - Crops","[pamhc2crops:barleyitem - 'Barley']"
28,"emendatusenigmatica","Emendatus Enigmatica","[emendatusenigmatica:enigmatic_fortunizer - 'Enigmatic Fortunizer']"
29,"whisperwoods","Whisperwoods","[whisperwoods:ghost_light_fiery_orange - 'Fiery Orange Ghost Light']"
30,"pamhc2foodcore","Pam's HarvestCraft 2 - Food Core","[pamhc2foodcore:flouritem - 'Flour']"
31,"vampirism","Vampirism","[vampirism:vampire_fang - 'Vampire Fang']"
32,"lootr","itemGroup.lootr","[lootr:lootr_chest - 'Loot Chest']"
33,"advancedperipheralstab","Advanced Peripherals","[advancedperipherals:chat_box - 'Chat box']"
34,"wyrmroost","Wyrmroost","[wyrmroost:blue_geode - 'Blue Geode']"
35,"eidolon","Eidolon","[eidolon:shadow_gem - 'Shadow Gem']"
36,"extendedcrafting","Extended Crafting","[extendedcrafting:luminessence - 'Luminessence']"
37,"alexsmobs","Alex's Mobs","[alexsmobs:tab_icon - 'Alex's Mobs']"
38,"buildinggadgets","Building Gadgets","[buildinggadgets:gadget_building - 'Building Gadget']"
39,"thermal.blocks","Thermal Series: Blocks","[thermal:enderium_block - 'Block of Enderium']"
40,"thermal.items","Thermal Series: Items","[thermal:signalum_gear - 'Signalum Gear']"
41,"thermal.tools","Thermal Series: Tools","[thermal:wrench - 'Crescent Hammer']"
42,"chipped_tab","Chipped","[chipped:botanist_workbench - 'Botanist's Workbench']"
43,"compressium","Compressium","[compressium:cobblestone_1 - 'Compressed Cobble (1x)']"
44,"pamhc2foodextended","Pam's HarvestCraft 2 - Food Extended","[pamhc2foodextended:ketchupitem - 'Ketchup']"
45,"ars_nouveau","Ars Nouveau","[ars_nouveau:archmage_spell_book - 'Archmage Spell Book']"
46,"pamhc2trees","Pam's HarvestCraft 2 - Fruit Trees","[pamhc2trees:apple_sapling - 'Apple Sapling']"
47,"nethers_delight","Nether's Delight","[nethers_delight:stuffed_hoglin_item - 'Stuffed Hoglin']"
48,"create.base","Create","[create:cogwheel - 'Cogwheel']"
49,"create.palettes","Create Palettes","[create:ornate_iron_window - 'Ornate Iron Window']"
50,"waystones","Waystones","[waystones:waystone - 'Waystone']"
51,"framed_compacting_drawers","Framed Compacting Drawers","[framedcompactdrawers:framed_compact_drawer - 'Framed Compacting Drawer']"
52,"Better Animals+","Better Animals Plus","[betteranimalsplus:antler - 'Antler']"
53,"traverse","Traverse Reforged","[traverse:fir_log - 'Fir Log']"
54,"vanillacookbook","Vanilla Cookbook","[vanillacookbook:book_cake - 'Book Cake']"
55,"firstaid","First Aid","[firstaid:bandage - 'Bandage']"
56,"bloodmagictab","Blood Magic","[bloodmagic:altar - 'Blood Altar']"
57,"refinedstorageaddons","Refined Storage Addons","[refinedstorageaddons:creative_wireless_crafting_grid - 'Creative Wireless Crafting Grid']"
58,"betterendforge","Better End","[betterendforge:eternal_pedestal - 'Eternal Pedestal']"
59,"industrialforegoing_core","Industrial Foregoing: Core","[industrialforegoing:plastic - 'Plastic']"
60,"extrastorage_tab","Extra Storage","[extrastorage:gold_crafter - 'Gold Crafter']"
61,"tabaquamirae_tab","Aquamirae (Obscuria Collection)","[ob_aquamirae:rune_of_the_storm - 'Rune Of The Storm']"
62,"industrialforegoing_tool","Industrial Foregoing: Tools","[industrialforegoing:infinity_drill - 'Infinity Drill']"
63,"industrialforegoing_transport","Industrial Foregoing: Transport & Storage","[industrialforegoing:conveyor - 'Conveyor Belt']"
64,"industrialforegoing_generator","Industrial Foregoing: Generators","[industrialforegoing:pitiful_generator - 'Pitiful Generator']"
65,"industrialforegoing_ag_hus","Industrial Foregoing: Agriculture & Husbandry","[industrialforegoing:plant_sower - 'Plant Sower']"
66,"industrialforegoing_resource_production","Industrial Foregoing: Resource Production","[industrialforegoing:water_condensator - 'Water Condensator']"
67,"industrialforegoing_misc","Industrial Foregoing: Misc","[minecraft:barrier - 'Barrier']"
68,"crumbs.item_group","Crumbs","[crumbs:oak_bundled_log - 'Oak Bundled Log']"
69,"croptopia","Croptopia","[croptopia:onion - 'Onion']"
70,"tabcore_tab","Obscuria's Core","[ob_core:iron_gear - 'Iron Gear']"
71,"astralsorcery","Astral Sorcery","[astralsorcery:tome - 'Astral Tome']"
72,"astralsorcery.papers","[AS] Constellation Papers","[astralsorcery:constellation_paper - 'Constellation Paper']"
73,"astralsorcery.crystals","[AS] Attuned Crystals","[astralsorcery:rock_crystal - 'Rock Crystal']"
74,"losttrinkets","Lost Trinkets","[losttrinkets:creepo - 'Creepo']"
75,"absentbydesign","Absent by Design","[absentbydesign:fence_quartz - 'Quartz Fence']"
76,"tabafterlight","Afterlight","[the_afterlight:gloom_shelf - 'Gloom Shelf']"
77,"buildersaddition:builders_addition_group","Builders Crafts & Additions","[buildersaddition:cut_quartz_pillar - 'Cut Quartz Pillar']"
78,"computercraft","ComputerCraft","[computercraft:computer_normal - 'Computer']"
79,"itemfilters.main","Item Filters","[itemfilters:always_true - 'Always True Filter']"
80,"createdeco.bricks","CreateDeco Bricks","[createdeco:blue_bricks - 'Blue Bricks']"
81,"createdeco.metals","CreateDeco Metals","[createdeco:brass_bars - 'Brass Bars']"
82,"createdeco.props","CreateDeco Props","[createdeco:brass_coinstack - 'Brass Coinstack']"
83,"tabcreate_confectionery_tab","Create Confectionery","[create_confectionery:create_confectionery_icon - 'Create Confectionery Icon']"
84,"ftbquests.ftbquests","FTB Quests","[ftbquests:book - 'Quest Book']"
85,"kubejs.kubejs","KubeJS","[minecraft:purple_dye - 'Purple Dye']"
86,"resources","Titanium: Resources","[minecraft:barrier - 'Barrier']"
87,"valhelsia_structures_main","Valhelsia Structures","[valhelsia_structures:brazier - 'Brazier']"
