"Registry name","Display name","Hunger","Saturation","Is meat","Fast to eat","Tags","Effects"
"abnormals_delight:adzuki_cake_slice","Slice of Adzuki Cake",1,0.1,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abnormals_delight:banana_cake_slice","Slice of Banana Cake",1,0.1,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abnormals_delight:cherry_cookie","Cherry Cookie",2,0.3,"false","true","",""
"abnormals_delight:chocolate_cake_slice","Slice of Chocolate Cake",1,0.1,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abnormals_delight:cooked_duck_fillet","Cooked Duck Fillet",4,0.3,"true","false","forge:cooked_duck",""
"abnormals_delight:cooked_perch_slice","Cooked Perch Slice",2,0.7,"false","false","forge:cooked_fishes, forge:cooked_fishes/perch",""
"abnormals_delight:cooked_pike_slice","Cooked Pike Slice",4,0.8,"false","false","forge:cooked_fishes, forge:cooked_fishes/pike",""
"abnormals_delight:cooked_venison_shanks","Cooked Venison Shanks",3,0.8,"true","false","forge:cooked_venison",""
"abnormals_delight:duck_fillet","Raw Duck Fillet",2,0.1,"true","false","farmersdelight:cabbage_roll_ingredients, farmersdelight:wolf_prey, forge:raw_duck","{[effect.minecraft.hunger, Duration: 600], Propability: 0.3}"
"abnormals_delight:duck_noodles","Duck Noodles",12,0.8,"false","false","","{[effect.farmersdelight.nourished, Duration: 4800], Propability: 1.0}"
"abnormals_delight:dune_platter","Dune Platter",10,0.8,"false","false","","{[effect.farmersdelight.nourished, Duration: 2400], Propability: 1.0}"
"abnormals_delight:escargot","Escargot",8,0.5,"false","false","",""
"abnormals_delight:maple_cookie","Maple Cookie",2,0.3,"false","true","",""
"abnormals_delight:maple_glazed_bacon","Maple Glazed Bacon",6,0.8,"true","false","","{[effect.minecraft.resistance, Duration: 200], Propability: 1.0}"
"abnormals_delight:mint_cake_slice","Slice of Mint Cake",1,0.1,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abnormals_delight:mulberry_cookie","Mulberry Cookie",2,0.3,"false","true","",""
"abnormals_delight:passionfruit_glazed_duck","Passionfruit Glazed Duck",14,0.9,"false","false","","{[effect.farmersdelight.nourished, Duration: 4800], Propability: 1.0}"
"abnormals_delight:perch_slice","Raw Perch Slice",1,0.2,"false","false","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes, forge:raw_fishes/perch",""
"abnormals_delight:perch_with_mushrooms","Perch with Mushrooms",14,0.9,"false","false","","{[effect.farmersdelight.nourished, Duration: 4800], Propability: 1.0}"
"abnormals_delight:pike_slice","Raw Pike Slice",1,0.3,"false","false","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes, forge:raw_fishes/pike",""
"abnormals_delight:pike_with_beetroot","Pike with Beetroot",9,0.7,"false","false","","{[effect.farmersdelight.nourished, Duration: 1200], Propability: 1.0}"
"abnormals_delight:seared_venison","Seared Venison",12,0.9,"false","false","","{[effect.farmersdelight.nourished, Duration: 2400], Propability: 1.0}"
"abnormals_delight:slabdish","Slabdish",4,0.2,"false","false","environmental:slabfish_food","{[effect.minecraft.nausea, Duration: 200], Propability: 1.0}"
"abnormals_delight:strawberry_cake_slice","Slice of Strawberry Cake",1,0.1,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abnormals_delight:vanilla_cake_slice","Slice of Vanilla Cake",1,0.1,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abnormals_delight:venison_shanks","Raw Venison Shanks",1,0.3,"true","false","farmersdelight:cabbage_roll_ingredients, farmersdelight:wolf_prey, forge:raw_venison",""
"abnormals_delight:venison_with_bamboo_shoots","Venison with Bamboo Shoots",11,0.9,"false","false","","{[effect.farmersdelight.nourished, Duration: 2400], Propability: 1.0}"
"abnormals_delight:yucca_gateau_slice","Slice of Yucca Gateau",1,0.0,"false","true","","{[effect.minecraft.speed, Duration: 600], Propability: 1.0}"
"abundance:lavender_salad","Lavender Salad",6,0.5,"false","false","",""
"abundance:lavender_tea","Lavender Tea",0,0.0,"false","false","",""
"abundance:sunflower_seeds","Sunflower Seeds",2,0.1,"false","false","",""
"alexsmobs:banana","Banana",4,0.3,"false","false","alexsmobs:bananas, alexsmobs:elephant_foodstuffs, alexsmobs:gorilla_foodstuffs, diet:fruits, forge:crops/banana, forge:fruits, forge:fruits/banana",""
