"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Abnormals Delight","abnormals_delight:cherry_cookie",16899,"Cherry Cookie","abnormals_delight:environmental/cherry_cookie",""
"Abnormals Delight","abnormals_delight:cherry_pantry",16932,"Cherry Pantry","abnormals_delight:environmental/cherry_pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:cooked_duck_fillet",16892,"Cooked Duck Fillet","abnormals_delight:environmental/cooked_duck_fillet","forge:cooked_duck"
"Abnormals Delight","abnormals_delight:cooked_duck_fillet",16892,"Cooked Duck Fillet","abnormals_delight:environmental/cooked_duck_fillet_from_campfire_cooking","forge:cooked_duck"
"Abnormals Delight","abnormals_delight:cooked_duck_fillet",16892,"Cooked Duck Fillet","abnormals_delight:environmental/cooked_duck_fillet_from_smoking","forge:cooked_duck"
"Abnormals Delight","abnormals_delight:cooked_duck_fillet",16892,"Cooked Duck Fillet","abnormals_delight:environmental/cutting/cooked_duck","forge:cooked_duck"
"Abnormals Delight","abnormals_delight:cooked_perch_slice",16898,"Cooked Perch Slice","abnormals_delight:upgrade_aquatic/cooked_perch_slice","forge:cooked_fishes, forge:cooked_fishes/perch"
"Abnormals Delight","abnormals_delight:cooked_perch_slice",16898,"Cooked Perch Slice","abnormals_delight:upgrade_aquatic/cooked_perch_slice_from_campfire_cooking","forge:cooked_fishes, forge:cooked_fishes/perch"
"Abnormals Delight","abnormals_delight:cooked_perch_slice",16898,"Cooked Perch Slice","abnormals_delight:upgrade_aquatic/cooked_perch_slice_from_smoking","forge:cooked_fishes, forge:cooked_fishes/perch"
"Abnormals Delight","abnormals_delight:cooked_perch_slice",16898,"Cooked Perch Slice","abnormals_delight:upgrade_aquatic/cutting/cooked_perch","forge:cooked_fishes, forge:cooked_fishes/perch"
"Abnormals Delight","abnormals_delight:cooked_pike_slice",16896,"Cooked Pike Slice","abnormals_delight:upgrade_aquatic/cooked_pike_slice","forge:cooked_fishes, forge:cooked_fishes/pike"
"Abnormals Delight","abnormals_delight:cooked_pike_slice",16896,"Cooked Pike Slice","abnormals_delight:upgrade_aquatic/cooked_pike_slice_from_campfire_cooking","forge:cooked_fishes, forge:cooked_fishes/pike"
"Abnormals Delight","abnormals_delight:cooked_pike_slice",16896,"Cooked Pike Slice","abnormals_delight:upgrade_aquatic/cooked_pike_slice_from_smoking","forge:cooked_fishes, forge:cooked_fishes/pike"
"Abnormals Delight","abnormals_delight:cooked_pike_slice",16896,"Cooked Pike Slice","abnormals_delight:upgrade_aquatic/cutting/cooked_pike","forge:cooked_fishes, forge:cooked_fishes/pike"
"Abnormals Delight","abnormals_delight:cooked_venison_shanks",16894,"Cooked Venison Shanks","abnormals_delight:environmental/cooked_venison_shanks","forge:cooked_venison"
"Abnormals Delight","abnormals_delight:cooked_venison_shanks",16894,"Cooked Venison Shanks","abnormals_delight:environmental/cooked_venison_shanks_from_campfire_cooking","forge:cooked_venison"
"Abnormals Delight","abnormals_delight:cooked_venison_shanks",16894,"Cooked Venison Shanks","abnormals_delight:environmental/cooked_venison_shanks_from_smoking","forge:cooked_venison"
"Abnormals Delight","abnormals_delight:cooked_venison_shanks",16894,"Cooked Venison Shanks","abnormals_delight:environmental/cutting/cooked_venison","forge:cooked_venison"
"Abnormals Delight","abnormals_delight:driftwood_pantry",16933,"Driftwood Pantry","abnormals_delight:upgrade_aquatic/driftwood_pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:duck_fillet",16891,"Raw Duck Fillet","abnormals_delight:environmental/cutting/duck","farmersdelight:cabbage_roll_ingredients, farmersdelight:wolf_prey, forge:raw_duck"
"Abnormals Delight","abnormals_delight:duck_noodles",16905,"Duck Noodles","abnormals_delight:duck_noodles",""
"Abnormals Delight","abnormals_delight:escargot",16910,"Escargot","abnormals_delight:autumnity/cooking/escargot",""
"Abnormals Delight","abnormals_delight:maple_cookie",16901,"Maple Cookie","abnormals_delight:autumnity/maple_cookie",""
"Abnormals Delight","abnormals_delight:maple_glazed_bacon",16909,"Maple Glazed Bacon","abnormals_delight:maple_glazed_bacon",""
"Abnormals Delight","abnormals_delight:maple_pantry",16928,"Maple Pantry","abnormals_delight:autumnity/maple_pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:mulberry_cookie",16900,"Mulberry Cookie","abnormals_delight:upgrade_aquatic/mulberry_cookie",""
"Abnormals Delight","abnormals_delight:perch_slice",16897,"Raw Perch Slice","abnormals_delight:upgrade_aquatic/cutting/perch","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes, forge:raw_fishes/perch"
"Abnormals Delight","abnormals_delight:perch_with_mushrooms",16906,"Perch with Mushrooms","abnormals_delight:perch_with_mushrooms",""
