"Mod name","Registry name","Item ID","Display name","Plant Type","Tags"
"Abundance","abundance:amaranthus",16872,"Amaranthus","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:chicory",16871,"Chicory","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:flowering_redbud_sapling",16868,"Flowering Redbud Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Abundance","abundance:jacaranda_sapling",16805,"Jacaranda Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Abundance","abundance:lavender",16791,"Lavender","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:nemophila",16873,"Nemophila","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:purple_african_daisy",16874,"Purple African Daisy","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:redbud_sapling",16838,"Redbud Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Abundance","abundance:saguaro_cactus",16869,"Saguaro Cactus","desert","resourcefulbees:valid_apiary"
"Abundance","abundance:saguaro_flower",16880,"Saguaro Sprout","plains","supplementaries:flower_box_plantable"
"Abundance","abundance:shady_marigold",16798,"Shady Marigold","plains","abundance:small_marigolds, diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:small_saguaro_cactus",16870,"Small Saguaro Cactus","desert","resourcefulbees:valid_apiary"
"Abundance","abundance:sunny_marigold",16797,"Sunny Marigold","plains","abundance:small_marigolds, diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:tall_marigold",16799,"Tall Marigold","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:tall_flowers, supplementaries:flower_box_plantable"
"Abundance","abundance:yellow_african_daisy",16875,"Yellow African Daisy","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
"Alex's Mobs","alexsmobs:banana_peel",8928,"Banana Peel","plains","diet:fruits"
"Ars Nouveau","ars_nouveau:blue_archwood_sapling",13547,"Cascading Archwood Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Ars Nouveau","ars_nouveau:green_archwood_sapling",13555,"Flourishing Archwood Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Ars Nouveau","ars_nouveau:lava_lily",13536,"Lava Lily","plains","resourcefulbees:valid_apiary"
"Ars Nouveau","ars_nouveau:mana_berry",13537,"Source Berry","plains","diet:fruits"
"Ars Nouveau","ars_nouveau:mana_bloom_crop",13517,"Magebloom Seed","crop","alexsmobs:crow_foodstuffs, ars_nouveau:sylph/denied_drop, forge:seeds, forge:seeds/mana_bloom, minecraft:bee_growables, minecraft:crops"
"Ars Nouveau","ars_nouveau:purple_archwood_sapling",13551,"Vexing Archwood Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Ars Nouveau","ars_nouveau:red_archwood_sapling",13559,"Blazing Archwood Sapling","plains","alexsmobs:elephant_foodstuffs, minecraft:saplings, supplementaries:flower_box_plantable"
"Astral Sorcery","astralsorcery:glow_flower",8269,"Faint Amaranth","cave",""
"Autumnity","autumnity:autumn_crocus",14950,"Autumn Crocus","plains","diet:vegetables, environmental:deer_tempt_items, minecraft:flowers, minecraft:small_flowers, supplementaries:flower_box_plantable"
