"Mod name","Registry name","Item ID","Display name","Tags"
"Abnormals Delight","abnormals_delight:adzuki_cake_slice",16920,"Slice of Adzuki Cake",""
"Abnormals Delight","abnormals_delight:aspen_pantry",16926,"Aspen Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:banana_cake_slice",16918,"Slice of Banana Cake",""
"Abnormals Delight","abnormals_delight:cherry_cookie",16899,"Cherry Cookie",""
"Abnormals Delight","abnormals_delight:cherry_cream_soda",16912,"Cherry Cream Soda",""
"Abnormals Delight","abnormals_delight:cherry_pantry",16932,"Cherry Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:chocolate_cake_slice",16916,"Slice of Chocolate Cake",""
"Abnormals Delight","abnormals_delight:cooked_duck_fillet",16892,"Cooked Duck Fillet","forge:cooked_duck"
"Abnormals Delight","abnormals_delight:cooked_perch_slice",16898,"Cooked Perch Slice","forge:cooked_fishes, forge:cooked_fishes/perch"
"Abnormals Delight","abnormals_delight:cooked_pike_slice",16896,"Cooked Pike Slice","forge:cooked_fishes, forge:cooked_fishes/pike"
"Abnormals Delight","abnormals_delight:cooked_venison_shanks",16894,"Cooked Venison Shanks","forge:cooked_venison"
"Abnormals Delight","abnormals_delight:driftwood_pantry",16933,"Driftwood Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:duck_fillet",16891,"Raw Duck Fillet","farmersdelight:cabbage_roll_ingredients, farmersdelight:wolf_prey, forge:raw_duck"
"Abnormals Delight","abnormals_delight:duck_noodles",16905,"Duck Noodles",""
"Abnormals Delight","abnormals_delight:dune_platter",16904,"Dune Platter",""
"Abnormals Delight","abnormals_delight:escargot",16910,"Escargot",""
"Abnormals Delight","abnormals_delight:grimwood_pantry",16927,"Grimwood Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:kousa_pantry",16925,"Kousa Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:maple_cookie",16901,"Maple Cookie",""
"Abnormals Delight","abnormals_delight:maple_glazed_bacon",16909,"Maple Glazed Bacon",""
"Abnormals Delight","abnormals_delight:maple_pantry",16928,"Maple Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:mint_cake_slice",16919,"Slice of Mint Cake",""
"Abnormals Delight","abnormals_delight:morado_pantry",16923,"Morado Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:mulberry_cookie",16900,"Mulberry Cookie",""
"Abnormals Delight","abnormals_delight:necromium_knife",16890,"Necromium Knife","caverns_and_chasms:necromium_gear, farmersdelight:straw_harvesters, farmersdelight:tools/knives, forge:tools, forge:tools/knives"
"Abnormals Delight","abnormals_delight:passion_aloe_nectar",16913,"Passion Aloe Nectar",""
"Abnormals Delight","abnormals_delight:passionfruit_glazed_duck",16903,"Passionfruit Glazed Duck",""
"Abnormals Delight","abnormals_delight:perch_slice",16897,"Raw Perch Slice","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes, forge:raw_fishes/perch"
"Abnormals Delight","abnormals_delight:perch_with_mushrooms",16906,"Perch with Mushrooms",""
"Abnormals Delight","abnormals_delight:pickerelweed_juice",16914,"Pickerelweed Juice",""
"Abnormals Delight","abnormals_delight:pike_slice",16895,"Raw Pike Slice","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes, forge:raw_fishes/pike"
"Abnormals Delight","abnormals_delight:pike_with_beetroot",16907,"Pike with Beetroot",""
"Abnormals Delight","abnormals_delight:poise_pantry",16929,"Poise Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:river_pantry",16934,"River Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:rosewood_pantry",16922,"Rosewood Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:seared_venison",16902,"Seared Venison",""
"Abnormals Delight","abnormals_delight:silver_knife",16889,"Silver Knife","caverns_and_chasms:affliction_items, caverns_and_chasms:silver_gear, farmersdelight:straw_harvesters, farmersdelight:tools/knives, forge:tools, forge:tools/knives"
"Abnormals Delight","abnormals_delight:slabdish",16911,"Slabdish","environmental:slabfish_food"
"Abnormals Delight","abnormals_delight:strawberry_cake_slice",16917,"Slice of Strawberry Cake",""
"Abnormals Delight","abnormals_delight:vanilla_cake_slice",16915,"Slice of Vanilla Cake",""
"Abnormals Delight","abnormals_delight:venison_shanks",16893,"Raw Venison Shanks","farmersdelight:cabbage_roll_ingredients, farmersdelight:wolf_prey, forge:raw_venison"
"Abnormals Delight","abnormals_delight:venison_with_bamboo_shoots",16908,"Venison with Bamboo Shoots",""
"Abnormals Delight","abnormals_delight:willow_pantry",16930,"Willow Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:wisteria_pantry",16931,"Wisteria Pantry","resourcefulbees:valid_apiary"
"Abnormals Delight","abnormals_delight:yucca_gateau_slice",16921,"Slice of Yucca Gateau",""
"Abnormals Delight","abnormals_delight:yucca_pantry",16924,"Yucca Pantry","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_crimson",9415,"Crimson Stem Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_log_acacia",9408,"Acacia Log Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_log_birch",9409,"Birch Log Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_log_darkoak",9410,"Darkoak Log Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_log_jungle",9411,"Jungle Log Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_log_oak",9412,"Oak Log Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_log_spruce",9413,"Spruce Log Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_obsidian",9417,"Obsidian Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_quartz",9418,"Quartz Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_red_netherbrick",9414,"Red Netherbrick Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:fence_warped",9416,"Warped Stem Fence","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_blackstone_bricks",9660,"Blackstone Brick Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_bricks",9661,"Brick Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_end_stone_bricks",9662,"Endstone Brick Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_nether_bricks",9656,"Nether Brick Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_obsidian",9663,"Obsidian Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_prismarine",9664,"Prismarine Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_prismarine_brick",9665,"Prismarine Brick Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_prismarine_dark",9666,"Dark Prismarine Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_purpur",9667,"Purpur Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_quartz",9658,"Quartz Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_red_nether_bricks",9657,"Red Nether Brick Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:gate_stone_bricks",9659,"Stone Brick Fence Gate","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_basalt",9425,"Basalt Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_bricks_cracked",9422,"Cracked Bricks Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_brown_mushroom",9501,"Brown Mushroom Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_coarse_dirt",9423,"Coarse Dirt Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_black",9433,"Black Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_blue",9434,"Blue Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_brown",9435,"Brown Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_cyan",9436,"Cyan Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_gray",9437,"Gray Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_green",9438,"Green Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_light_blue",9439,"Light Blue Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_lime",9440,"Lime Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_magenta",9441,"Magenta Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_orange",9442,"Orange Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_pink",9443,"Pink Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_purple",9444,"Purple Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_red",9445,"Red Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_silver",9446,"Light Gray Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_white",9447,"White Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_concrete_yellow",9448,"Yellow Concrete Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_crying_obsidian",9427,"Crying Obsidian Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_end_stone",9419,"Endstone Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass",9482,"Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_black",9498,"Black Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_blue",9494,"Blue Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_brown",9495,"Brown Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_cyan",9492,"Cyan Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_gray",9490,"Gray Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_green",9496,"Green Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_light_blue",9486,"Light Blue Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_light_gray",9491,"Light Gray Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_lime",9488,"Lime Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_magenta",9485,"Magenta Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_orange",9484,"Orange Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_pink",9489,"Pink Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_purple",9493,"Purple Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_red",9497,"Red Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_white",9483,"White Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glass_yellow",9487,"Yellow Glass Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_glowstone",9431,"Glowstone Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_lodestone",9428,"Lodestone Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_magma",9430,"Magma Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_mushroom_polished",9502,"Polished Mushroom Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_mushroom_stem",9499,"Mushroom Stem Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_netherrack",9420,"Netherrack Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_obsidian",9424,"Obsidian Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_polished_basalt",9426,"Polished Basalt Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_quartz_bricks",9429,"Quartz Brick Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_red_mushroom",9500,"Red Mushroom Slab","resourcefulbees:valid_apiary"
"Absent By Design Mod","absentbydesign:slab_sea_lantern",9432,"Sea Lantern Slab","resourcefulbees:valid_apiary"
