"Mod name","Registry name","Item ID","Display name"
"Abnormals Delight","abnormals_delight:adzuki_cake_slice",16920,"Slice of Adzuki Cake"
"Abnormals Delight","abnormals_delight:aspen_pantry",16926,"Aspen Pantry"
"Abnormals Delight","abnormals_delight:banana_cake_slice",16918,"Slice of Banana Cake"
"Abnormals Delight","abnormals_delight:cherry_cookie",16899,"Cherry Cookie"
"Abnormals Delight","abnormals_delight:cherry_cream_soda",16912,"Cherry Cream Soda"
"Abnormals Delight","abnormals_delight:cherry_pantry",16932,"Cherry Pantry"
"Abnormals Delight","abnormals_delight:chocolate_cake_slice",16916,"Slice of Chocolate Cake"
"Abnormals Delight","abnormals_delight:cooked_duck_fillet",16892,"Cooked Duck Fillet"
"Abnormals Delight","abnormals_delight:cooked_perch_slice",16898,"Cooked Perch Slice"
"Abnormals Delight","abnormals_delight:cooked_pike_slice",16896,"Cooked Pike Slice"
"Abnormals Delight","abnormals_delight:cooked_venison_shanks",16894,"Cooked Venison Shanks"
"Abnormals Delight","abnormals_delight:driftwood_pantry",16933,"Driftwood Pantry"
"Abnormals Delight","abnormals_delight:duck_fillet",16891,"Raw Duck Fillet"
"Abnormals Delight","abnormals_delight:duck_noodles",16905,"Duck Noodles"
"Abnormals Delight","abnormals_delight:dune_platter",16904,"Dune Platter"
"Abnormals Delight","abnormals_delight:escargot",16910,"Escargot"
"Abnormals Delight","abnormals_delight:grimwood_pantry",16927,"Grimwood Pantry"
"Abnormals Delight","abnormals_delight:kousa_pantry",16925,"Kousa Pantry"
"Abnormals Delight","abnormals_delight:maple_cookie",16901,"Maple Cookie"
"Abnormals Delight","abnormals_delight:maple_glazed_bacon",16909,"Maple Glazed Bacon"
"Abnormals Delight","abnormals_delight:maple_pantry",16928,"Maple Pantry"
"Abnormals Delight","abnormals_delight:mint_cake_slice",16919,"Slice of Mint Cake"
"Abnormals Delight","abnormals_delight:morado_pantry",16923,"Morado Pantry"
"Abnormals Delight","abnormals_delight:mulberry_cookie",16900,"Mulberry Cookie"
"Abnormals Delight","abnormals_delight:necromium_knife",16890,"Necromium Knife"
"Abnormals Delight","abnormals_delight:passion_aloe_nectar",16913,"Passion Aloe Nectar"
"Abnormals Delight","abnormals_delight:passionfruit_glazed_duck",16903,"Passionfruit Glazed Duck"
"Abnormals Delight","abnormals_delight:perch_slice",16897,"Raw Perch Slice"
"Abnormals Delight","abnormals_delight:perch_with_mushrooms",16906,"Perch with Mushrooms"
"Abnormals Delight","abnormals_delight:pickerelweed_juice",16914,"Pickerelweed Juice"
"Abnormals Delight","abnormals_delight:pike_slice",16895,"Raw Pike Slice"
"Abnormals Delight","abnormals_delight:pike_with_beetroot",16907,"Pike with Beetroot"
"Abnormals Delight","abnormals_delight:poise_pantry",16929,"Poise Pantry"
"Abnormals Delight","abnormals_delight:river_pantry",16934,"River Pantry"
"Abnormals Delight","abnormals_delight:rosewood_pantry",16922,"Rosewood Pantry"
"Abnormals Delight","abnormals_delight:seared_venison",16902,"Seared Venison"
"Abnormals Delight","abnormals_delight:silver_knife",16889,"Silver Knife"
"Abnormals Delight","abnormals_delight:slabdish",16911,"Slabdish"
"Abnormals Delight","abnormals_delight:strawberry_cake_slice",16917,"Slice of Strawberry Cake"
"Abnormals Delight","abnormals_delight:vanilla_cake_slice",16915,"Slice of Vanilla Cake"
"Abnormals Delight","abnormals_delight:venison_shanks",16893,"Raw Venison Shanks"
"Abnormals Delight","abnormals_delight:venison_with_bamboo_shoots",16908,"Venison with Bamboo Shoots"
"Abnormals Delight","abnormals_delight:willow_pantry",16930,"Willow Pantry"
"Abnormals Delight","abnormals_delight:wisteria_pantry",16931,"Wisteria Pantry"
"Abnormals Delight","abnormals_delight:yucca_gateau_slice",16921,"Slice of Yucca Gateau"
"Abnormals Delight","abnormals_delight:yucca_pantry",16924,"Yucca Pantry"
"Absent By Design Mod","absentbydesign:fence_crimson",9415,"Crimson Stem Fence"
"Absent By Design Mod","absentbydesign:fence_log_acacia",9408,"Acacia Log Fence"
"Absent By Design Mod","absentbydesign:fence_log_birch",9409,"Birch Log Fence"
"Absent By Design Mod","absentbydesign:fence_log_darkoak",9410,"Darkoak Log Fence"
"Absent By Design Mod","absentbydesign:fence_log_jungle",9411,"Jungle Log Fence"
"Absent By Design Mod","absentbydesign:fence_log_oak",9412,"Oak Log Fence"
"Absent By Design Mod","absentbydesign:fence_log_spruce",9413,"Spruce Log Fence"
"Absent By Design Mod","absentbydesign:fence_obsidian",9417,"Obsidian Fence"
"Absent By Design Mod","absentbydesign:fence_quartz",9418,"Quartz Fence"
"Absent By Design Mod","absentbydesign:fence_red_netherbrick",9414,"Red Netherbrick Fence"
"Absent By Design Mod","absentbydesign:fence_warped",9416,"Warped Stem Fence"
"Absent By Design Mod","absentbydesign:gate_blackstone_bricks",9660,"Blackstone Brick Fence Gate"
"Absent By Design Mod","absentbydesign:gate_bricks",9661,"Brick Fence Gate"
"Absent By Design Mod","absentbydesign:gate_end_stone_bricks",9662,"Endstone Brick Fence Gate"
"Absent By Design Mod","absentbydesign:gate_nether_bricks",9656,"Nether Brick Gate"
"Absent By Design Mod","absentbydesign:gate_obsidian",9663,"Obsidian Fence Gate"
"Absent By Design Mod","absentbydesign:gate_prismarine",9664,"Prismarine Fence Gate"
"Absent By Design Mod","absentbydesign:gate_prismarine_brick",9665,"Prismarine Brick Fence Gate"
"Absent By Design Mod","absentbydesign:gate_prismarine_dark",9666,"Dark Prismarine Fence Gate"
"Absent By Design Mod","absentbydesign:gate_purpur",9667,"Purpur Fence Gate"
"Absent By Design Mod","absentbydesign:gate_quartz",9658,"Quartz Gate"
"Absent By Design Mod","absentbydesign:gate_red_nether_bricks",9657,"Red Nether Brick Gate"
"Absent By Design Mod","absentbydesign:gate_stone_bricks",9659,"Stone Brick Fence Gate"
"Absent By Design Mod","absentbydesign:slab_basalt",9425,"Basalt Slab"
"Absent By Design Mod","absentbydesign:slab_bricks_cracked",9422,"Cracked Bricks Slab"
"Absent By Design Mod","absentbydesign:slab_brown_mushroom",9501,"Brown Mushroom Slab"
"Absent By Design Mod","absentbydesign:slab_coarse_dirt",9423,"Coarse Dirt Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_black",9433,"Black Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_blue",9434,"Blue Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_brown",9435,"Brown Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_cyan",9436,"Cyan Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_gray",9437,"Gray Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_green",9438,"Green Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_light_blue",9439,"Light Blue Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_lime",9440,"Lime Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_magenta",9441,"Magenta Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_orange",9442,"Orange Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_pink",9443,"Pink Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_purple",9444,"Purple Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_red",9445,"Red Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_silver",9446,"Light Gray Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_white",9447,"White Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_concrete_yellow",9448,"Yellow Concrete Slab"
"Absent By Design Mod","absentbydesign:slab_crying_obsidian",9427,"Crying Obsidian Slab"
"Absent By Design Mod","absentbydesign:slab_end_stone",9419,"Endstone Slab"
"Absent By Design Mod","absentbydesign:slab_glass",9482,"Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_black",9498,"Black Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_blue",9494,"Blue Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_brown",9495,"Brown Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_cyan",9492,"Cyan Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_gray",9490,"Gray Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_green",9496,"Green Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_light_blue",9486,"Light Blue Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_light_gray",9491,"Light Gray Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_lime",9488,"Lime Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_magenta",9485,"Magenta Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_orange",9484,"Orange Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_pink",9489,"Pink Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_purple",9493,"Purple Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_red",9497,"Red Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_white",9483,"White Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glass_yellow",9487,"Yellow Glass Slab"
"Absent By Design Mod","absentbydesign:slab_glowstone",9431,"Glowstone Slab"
"Absent By Design Mod","absentbydesign:slab_lodestone",9428,"Lodestone Slab"
"Absent By Design Mod","absentbydesign:slab_magma",9430,"Magma Slab"
"Absent By Design Mod","absentbydesign:slab_mushroom_polished",9502,"Polished Mushroom Slab"
"Absent By Design Mod","absentbydesign:slab_mushroom_stem",9499,"Mushroom Stem Slab"
"Absent By Design Mod","absentbydesign:slab_netherrack",9420,"Netherrack Slab"
"Absent By Design Mod","absentbydesign:slab_obsidian",9424,"Obsidian Slab"
"Absent By Design Mod","absentbydesign:slab_polished_basalt",9426,"Polished Basalt Slab"
"Absent By Design Mod","absentbydesign:slab_quartz_bricks",9429,"Quartz Brick Slab"
"Absent By Design Mod","absentbydesign:slab_red_mushroom",9500,"Red Mushroom Slab"
"Absent By Design Mod","absentbydesign:slab_sea_lantern",9432,"Sea Lantern Slab"
"Absent By Design Mod","absentbydesign:slab_snow",9421,"Snow Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta",9481,"Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_black",9480,"Black Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_blue",9476,"Blue Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_brown",9477,"Brown Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_cyan",9474,"Cyan Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_gray",9472,"Gray Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_green",9478,"Green Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_light_blue",9468,"Light Blue Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_light_gray",9473,"Light Gray Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_lime",9470,"Lime Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_magenta",9467,"Magenta Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_orange",9466,"Orange Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_pink",9471,"Pink Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_purple",9475,"Purple Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_red",9479,"Red Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_white",9465,"White Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_terracotta_yellow",9469,"Yellow Terracotta Slab"
"Absent By Design Mod","absentbydesign:slab_wool_black",9449,"Black Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_blue",9450,"Blue Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_brown",9451,"Brown Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_cyan",9452,"Cyan Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_gray",9453,"Gray Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_green",9454,"Green Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_light_blue",9455,"Light Blue Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_lime",9456,"Lime Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_magenta",9457,"Magenta Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_orange",9458,"Orange Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_pink",9459,"Pink Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_purple",9460,"Purple Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_red",9461,"Red Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_silver",9462,"Light Gray Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_white",9463,"White Wool Slab"
"Absent By Design Mod","absentbydesign:slab_wool_yellow",9464,"Yellow Wool Slab"
"Absent By Design Mod","absentbydesign:stairs_basalt",9511,"Basalt Stairs"
"Absent By Design Mod","absentbydesign:stairs_bricks_cracked",9506,"Bricks Cracked Stairs"
"Absent By Design Mod","absentbydesign:stairs_brown_mushroom",9585,"Brown Mushroom Stairs"
"Absent By Design Mod","absentbydesign:stairs_coarse_dirt",9503,"Coarse Dirt Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_black",9518,"Black Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_blue",9519,"Blue Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_brown",9520,"Brown Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_cyan",9521,"Cyan Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_gray",9522,"Gray Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_green",9523,"Green Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_light_blue",9524,"Light Blue Concrete Stairs"
"Absent By Design Mod","absentbydesign:stairs_concrete_lime",9525,"Lime Concrete Stairs"
