"Registry name","Name"
"advancedperipherals:computer_scientist","computer_scientist"
"alexsmobs:am_beacon","alexsmobs:am_beacon"
"alexsmobs:end_portal_frame","alexsmobs:end_portal_frame"
"alexsmobs:hummingbird_feeder","alexsmobs:hummingbird_feeder"
"alexsmobs:leafcutter_anthill","alexsmobs:leafcutter_anthill"
"buzzier_bees:honey_pot","apiarist"
"environmental:kiln","ceramist"
"environmental:sawmill","carpenter"
"etched:etching_table","etched:etching_table"
"immersiveengineering:anvil","immersiveengineering:anvil"
"immersiveengineering:craftingtable","immersiveengineering:craftingtable"
"immersiveengineering:energymeter","immersiveengineering:energymeter"
"immersiveengineering:shaderbanner","immersiveengineering:shaderbanner"
"immersiveengineering:workbench","immersiveengineering:workbench"
"jellyfishing:frycook","frycook"
"minecraft:armorer","armorer"
"minecraft:bee_nest","bee_nest"
"minecraft:beehive","beehive"
"minecraft:butcher","butcher"
"minecraft:cartographer","cartographer"
"minecraft:cleric","cleric"
"minecraft:farmer","farmer"
"minecraft:fisherman","fisherman"
"minecraft:fletcher","fletcher"
"minecraft:home","home"
"minecraft:leatherworker","leatherworker"
"minecraft:librarian","librarian"
"minecraft:lodestone","lodestone"
"minecraft:mason","mason"
"minecraft:meeting","meeting"
"minecraft:nether_portal","nether_portal"
"minecraft:nitwit","nitwit"
"minecraft:shepherd","shepherd"
"minecraft:toolsmith","toolsmith"
"minecraft:unemployed","unemployed"
"minecraft:weaponsmith","weaponsmith"
"resourcefulbees:tiered_beehive_poi","tiered_beehive_poi"
"silentgear:gear_smithing_table","silentgear:gear_smithing_table"
"the_afterlight:the_afterlight_portal","the_afterlight_portal"
"vampirism:hunter_faction","hunter_faction"
"vampirism:no_faction","no_faction"
"vampirism:vampire_faction","vampire_faction"
