"Registry name","Name"
"astralsorcery:ancient_shrine","astralsorcery:ancient_shrine"
"astralsorcery:desert_shrine","astralsorcery:desert_shrine"
"astralsorcery:small_shrine","astralsorcery:small_shrine"
"autumnity:maple_witch_hut","maple_witch_hut"
"betterendforge:eternal_portal_structure","betterendforge:eternal_portal_structure"
"betterendforge:giant_ice_star_structure","betterendforge:giant_ice_star_structure"
"betterendforge:giant_mossy_glowshroom_structure","betterendforge:giant_mossy_glowshroom_structure"
"betterendforge:megalake_small_structure","betterendforge:megalake_structure"
"betterendforge:megalake_structure","betterendforge:megalake_structure"
"betterendforge:mountain_structure","betterendforge:mountain_structure"
"betterendforge:painted_mountain_structure","betterendforge:painted_mountain_structure"
"eidolon:catacomb","eidolon:catacomb"
"eidolon:lab","eidolon:lab"
"eidolon:stray_tower","eidolon:stray_tower"
"infernalexp:bastion_outpost","infernalexp:bastion_outpost"
"infernalexp:glowstone_canyon_ruin","infernalexp:glowstone_canyon_ruin"
"infernalexp:soul_sand_valley_ruin","infernalexp:soul_sand_valley_ruin"
"infernalexp:strider_altar","infernalexp:strider_altar"
"minecraft:bastion_remnant","bastion_remnant"
"minecraft:buried_treasure","buried_treasure"
"minecraft:desert_pyramid","desert_pyramid"
"minecraft:endcity","endcity"
"minecraft:fortress","fortress"
"minecraft:igloo","igloo"
"minecraft:jungle_pyramid","jungle_pyramid"
"minecraft:mansion","mansion"
"minecraft:mineshaft","mineshaft"
"minecraft:monument","monument"
"minecraft:nether_fossil","nether_fossil"
"minecraft:ocean_ruin","ocean_ruin"
"minecraft:pillager_outpost","pillager_outpost"
"minecraft:ruined_portal","ruined_portal"
"minecraft:shipwreck","shipwreck"
"minecraft:stronghold","stronghold"
"minecraft:swamp_hut","swamp_hut"
"minecraft:village","village"
"repurposed_structures:bastion_underground","repurposed_structures:bastion_underground"
"repurposed_structures:city_nether","repurposed_structures:city_nether"
"repurposed_structures:fortress_jungle","repurposed_structures:fortress_jungle"
"repurposed_structures:igloo_grassy","repurposed_structures:igloo_grassy"
"repurposed_structures:igloo_stone","repurposed_structures:igloo_stone"
"repurposed_structures:mansion_birch","repurposed_structures:mansion_birch"
"repurposed_structures:mansion_desert","repurposed_structures:mansion_desert"
"repurposed_structures:mansion_jungle","repurposed_structures:mansion_jungle"
"repurposed_structures:mansion_oak","repurposed_structures:mansion_oak"
"repurposed_structures:mansion_savanna","repurposed_structures:mansion_savanna"
"repurposed_structures:mansion_snowy","repurposed_structures:mansion_snowy"
"repurposed_structures:mansion_taiga","repurposed_structures:mansion_taiga"
"repurposed_structures:mineshaft_birch","repurposed_structures:mineshaft_birch"
"repurposed_structures:mineshaft_crimson","repurposed_structures:mineshaft_crimson"
"repurposed_structures:mineshaft_dark_forest","repurposed_structures:mineshaft_dark_forest"
"repurposed_structures:mineshaft_desert","repurposed_structures:mineshaft_desert"
"repurposed_structures:mineshaft_end","repurposed_structures:mineshaft_end"
"repurposed_structures:mineshaft_icy","repurposed_structures:mineshaft_icy"
"repurposed_structures:mineshaft_jungle","repurposed_structures:mineshaft_jungle"
"repurposed_structures:mineshaft_nether","repurposed_structures:mineshaft_nether"
"repurposed_structures:mineshaft_ocean","repurposed_structures:mineshaft_ocean"
"repurposed_structures:mineshaft_savanna","repurposed_structures:mineshaft_savanna"
"repurposed_structures:mineshaft_stone","repurposed_structures:mineshaft_stone"
"repurposed_structures:mineshaft_swamp","repurposed_structures:mineshaft_swamp"
"repurposed_structures:mineshaft_taiga","repurposed_structures:mineshaft_taiga"
"repurposed_structures:mineshaft_warped","repurposed_structures:mineshaft_warped"
"repurposed_structures:outpost_badlands","repurposed_structures:outpost_badlands"
"repurposed_structures:outpost_birch","repurposed_structures:outpost_birch"
"repurposed_structures:outpost_crimson","repurposed_structures:outpost_crimson"
"repurposed_structures:outpost_desert","repurposed_structures:outpost_desert"
"repurposed_structures:outpost_end","repurposed_structures:outpost_end"
"repurposed_structures:outpost_giant_tree_taiga","repurposed_structures:outpost_giant_tree_taiga"
"repurposed_structures:outpost_icy","repurposed_structures:outpost_icy"
"repurposed_structures:outpost_jungle","repurposed_structures:outpost_jungle"
"repurposed_structures:outpost_nether_brick","repurposed_structures:outpost_nether_brick"
"repurposed_structures:outpost_oak","repurposed_structures:outpost_oak"
"repurposed_structures:outpost_snowy","repurposed_structures:outpost_snowy"
"repurposed_structures:outpost_taiga","repurposed_structures:outpost_taiga"
"repurposed_structures:outpost_warped","repurposed_structures:outpost_warped"
"repurposed_structures:pyramid_badlands","repurposed_structures:pyramid_badlands"
"repurposed_structures:pyramid_end","repurposed_structures:pyramid_end"
"repurposed_structures:pyramid_flower_forest","repurposed_structures:pyramid_flower_forest"
"repurposed_structures:pyramid_giant_tree_taiga","repurposed_structures:pyramid_giant_tree_taiga"
"repurposed_structures:pyramid_icy","repurposed_structures:pyramid_icy"
"repurposed_structures:pyramid_jungle","repurposed_structures:pyramid_jungle"
"repurposed_structures:pyramid_mushroom","repurposed_structures:pyramid_mushroom"
"repurposed_structures:pyramid_nether","repurposed_structures:pyramid_nether"
"repurposed_structures:pyramid_ocean","repurposed_structures:pyramid_ocean"
"repurposed_structures:pyramid_snowy","repurposed_structures:pyramid_snowy"
"repurposed_structures:ruined_portal_end","repurposed_structures:ruined_portal_end"
"repurposed_structures:ruins_land_hot","repurposed_structures:ruins_land_hot"
"repurposed_structures:ruins_land_warm","repurposed_structures:ruins_land_warm"
"repurposed_structures:ruins_nether","repurposed_structures:ruins_nether"
"repurposed_structures:shipwreck_crimson","repurposed_structures:shipwreck_crimson"
"repurposed_structures:shipwreck_end","repurposed_structures:shipwreck_end"
"repurposed_structures:shipwreck_nether_bricks","repurposed_structures:shipwreck_nether_bricks"
"repurposed_structures:shipwreck_warped","repurposed_structures:shipwreck_warped"
"repurposed_structures:stronghold_end","repurposed_structures:stronghold_end"
"repurposed_structures:stronghold_nether","repurposed_structures:stronghold_nether"
"repurposed_structures:temple_nether_basalt","repurposed_structures:temple_nether_basalt"
"repurposed_structures:temple_nether_crimson","repurposed_structures:temple_nether_crimson"
"repurposed_structures:temple_nether_soul","repurposed_structures:temple_nether_soul"
"repurposed_structures:temple_nether_warped","repurposed_structures:temple_nether_warped"
"repurposed_structures:temple_nether_wasteland","repurposed_structures:temple_nether_wasteland"
"repurposed_structures:village_badlands","repurposed_structures:village_badlands"
"repurposed_structures:village_birch","repurposed_structures:village_birch"
"repurposed_structures:village_crimson","repurposed_structures:village_crimson"
"repurposed_structures:village_dark_oak","repurposed_structures:village_dark_oak"
"repurposed_structures:village_giant_taiga","repurposed_structures:village_giant_taiga"
"repurposed_structures:village_jungle","repurposed_structures:village_jungle"
"repurposed_structures:village_mountains","repurposed_structures:village_mountains"
"repurposed_structures:village_mushroom","repurposed_structures:village_mushroom"
"repurposed_structures:village_oak","repurposed_structures:village_oak"
"repurposed_structures:village_swamp","repurposed_structures:village_swamp"
"repurposed_structures:village_warped","repurposed_structures:village_warped"
"repurposed_structures:witch_hut_birch","repurposed_structures:witch_hut_birch"
"repurposed_structures:witch_hut_dark_forest","repurposed_structures:witch_hut_dark_forest"
"repurposed_structures:witch_hut_giant_tree_taiga","repurposed_structures:witch_hut_giant_tree_taiga"
"repurposed_structures:witch_hut_oak","repurposed_structures:witch_hut_oak"
"repurposed_structures:witch_hut_taiga","repurposed_structures:witch_hut_taiga"
"supplementaries:way_sign","supplementaries:way_sign"
"valhelsia_structures:big_tree","valhelsia_structures:big_tree"
"valhelsia_structures:castle","valhelsia_structures:castle"
"valhelsia_structures:castle_ruin","valhelsia_structures:castle_ruin"
"valhelsia_structures:desert_house","valhelsia_structures:desert_house"
"valhelsia_structures:forge","valhelsia_structures:forge"
"valhelsia_structures:player_house","valhelsia_structures:player_house"
"valhelsia_structures:spawner_dungeon","valhelsia_structures:spawner_dungeon"
"valhelsia_structures:tower_ruin","valhelsia_structures:tower_ruin"
"valhelsia_structures:witch_hut","valhelsia_structures:witch_hut"
"vampirism:hunter_camp","vampirism:hunter_camp"
