"ID","Tagged objects"
"abundance:jacaranda_logs","abundance:jacaranda_log"
"abundance:jacaranda_logs","abundance:jacaranda_wood"
"abundance:jacaranda_logs","abundance:stripped_jacaranda_log"
"abundance:jacaranda_logs","abundance:stripped_jacaranda_wood"
"abundance:redbud_logs","abundance:flowering_redbud_log"
"abundance:redbud_logs","abundance:flowering_redbud_wood"
"abundance:redbud_logs","abundance:redbud_log"
"abundance:redbud_logs","abundance:redbud_wood"
"abundance:redbud_logs","abundance:stripped_redbud_log"
"abundance:redbud_logs","abundance:stripped_redbud_wood"
"alexsmobs:alligator_snapping_turtle_spawns","biomesoplenty:black_sand"
"alexsmobs:alligator_snapping_turtle_spawns","biomesoplenty:orange_sand"
"alexsmobs:alligator_snapping_turtle_spawns","biomesoplenty:origin_grass_block"
"alexsmobs:alligator_snapping_turtle_spawns","biomesoplenty:white_sand"
"alexsmobs:alligator_snapping_turtle_spawns","byg:black_sand"
"alexsmobs:alligator_snapping_turtle_spawns","byg:blue_sand"
"alexsmobs:alligator_snapping_turtle_spawns","byg:bulbis_phycelium"
"alexsmobs:alligator_snapping_turtle_spawns","byg:end_sand"
"alexsmobs:alligator_snapping_turtle_spawns","byg:ether_phylium"
"alexsmobs:alligator_snapping_turtle_spawns","byg:ether_soil"
"alexsmobs:alligator_snapping_turtle_spawns","byg:glowcelium_block"
"alexsmobs:alligator_snapping_turtle_spawns","byg:imparius_phylium"
"alexsmobs:alligator_snapping_turtle_spawns","byg:ivis_phylium"
"alexsmobs:alligator_snapping_turtle_spawns","byg:meadow_dirt"
"alexsmobs:alligator_snapping_turtle_spawns","byg:meadow_grass_block"
"alexsmobs:alligator_snapping_turtle_spawns","byg:nightshade_phylium"
"alexsmobs:alligator_snapping_turtle_spawns","byg:overgrown_crimson_blackstone"
"alexsmobs:alligator_snapping_turtle_spawns","byg:overgrown_dacite"
"alexsmobs:alligator_snapping_turtle_spawns","byg:overgrown_netherrack"
"alexsmobs:alligator_snapping_turtle_spawns","byg:overgrown_stone"
"alexsmobs:alligator_snapping_turtle_spawns","byg:peat"
"alexsmobs:alligator_snapping_turtle_spawns","byg:pink_sand"
"alexsmobs:alligator_snapping_turtle_spawns","byg:podzol_dacite"
"alexsmobs:alligator_snapping_turtle_spawns","byg:purple_sand"
"alexsmobs:alligator_snapping_turtle_spawns","byg:shulkren_phylium"
"alexsmobs:alligator_snapping_turtle_spawns","byg:vermilion_sculk"
"alexsmobs:alligator_snapping_turtle_spawns","byg:white_sand"
"alexsmobs:alligator_snapping_turtle_spawns","environmental:mud"
"alexsmobs:alligator_snapping_turtle_spawns","farmersdelight:rich_soil"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:coarse_dirt"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:dirt"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:grass_block"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:gravel"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:mycelium"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:podzol"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:red_sand"
"alexsmobs:alligator_snapping_turtle_spawns","minecraft:sand"
