"ID","Tagged objects"
"alexsmobs:bald_eagle_targets","minecraft:rabbit, minecraft:salmon, alexsmobs:raccoon"
"alexsmobs:cachalot_whale_targets","alexsmobs:mimic_octopus, minecraft:squid"
"alexsmobs:crimson_mosquito_targets","minecraft:cat, minecraft:chicken, minecraft:cow, minecraft:donkey, minecraft:fox, minecraft:horse, minecraft:llama, minecraft:mule, minecraft:mooshroom, minecraft:ocelot, minecraft:panda, minecraft:parrot, minecraft:pig, minecraft:rabbit, minecraft:sheep, minecraft:strider, minecraft:trader_llama, minecraft:wolf, alexsmobs:capuchin_monkey, alexsmobs:crow, alexsmobs:emu, alexsmobs:gazelle, alexsmobs:mungus, alexsmobs:platypus, alexsmobs:roadrunner, alexsmobs:seal, alexsmobs:shoebill, alexsmobs:tasmanian_devil, minecraft:polar_bear, alexsmobs:bald_eagle, alexsmobs:elephant, alexsmobs:endergrade, alexsmobs:grizzly_bear, alexsmobs:gorilla, alexsmobs:kangaroo, alexsmobs:moose, alexsmobs:raccoon, alexsmobs:rattlesnake, alexsmobs:snow_leopard, alexsmobs:tiger, minecraft:villager, minecraft:wandering_trader"
"alexsmobs:crocodile_targets","minecraft:cat, minecraft:chicken, minecraft:cow, minecraft:donkey, minecraft:fox, minecraft:horse, minecraft:llama, minecraft:mule, minecraft:mooshroom, minecraft:ocelot, minecraft:panda, minecraft:parrot, minecraft:pig, minecraft:rabbit, minecraft:sheep, minecraft:strider, minecraft:trader_llama, minecraft:wolf, alexsmobs:capuchin_monkey, alexsmobs:crow, alexsmobs:emu, alexsmobs:gazelle, alexsmobs:mungus, alexsmobs:platypus, alexsmobs:roadrunner, alexsmobs:seal, alexsmobs:shoebill, alexsmobs:tasmanian_devil, minecraft:villager, minecraft:wandering_trader, alexsmobs:kangaroo"
"alexsmobs:fly_annoy_targets","minecraft:villager, minecraft:wandering_trader, minecraft:player"
"alexsmobs:fly_hurt_targets","minecraft:drowned, minecraft:husk, minecraft:zombie_villager, minecraft:zombie"
"alexsmobs:komodo_dragon_targets","minecraft:cat, minecraft:chicken, minecraft:cow, minecraft:donkey, minecraft:fox, minecraft:horse, minecraft:llama, minecraft:mule, minecraft:mooshroom, minecraft:ocelot, minecraft:panda, minecraft:parrot, minecraft:pig, minecraft:rabbit, minecraft:sheep, minecraft:strider, minecraft:trader_llama, minecraft:wolf, alexsmobs:capuchin_monkey, alexsmobs:crow, alexsmobs:emu, alexsmobs:gazelle, alexsmobs:mungus, alexsmobs:platypus, alexsmobs:roadrunner, alexsmobs:seal, alexsmobs:shoebill, alexsmobs:tasmanian_devil, minecraft:villager, minecraft:wandering_trader, alexsmobs:kangaroo"
"alexsmobs:mantis_shrimp_targets","alexsmobs:mimic_octopus, alexsmobs:lobster, minecraft:shulker, minecraft:squid, minecraft:guardian, minecraft:elder_guardian, minecraft:tropical_fish"
"alexsmobs:mimic_octopus_fears","minecraft:drowned, minecraft:dolphin, alexsmobs:orca, alexsmobs:hammerhead_shark, alexsmobs:mantis_shrimp, alexsmobs:cachalot_whale, alexsmobs:frilled_shark"
"alexsmobs:neutral_land_animals","minecraft:polar_bear, alexsmobs:bald_eagle, alexsmobs:elephant, alexsmobs:endergrade, alexsmobs:grizzly_bear, alexsmobs:gorilla, alexsmobs:kangaroo, alexsmobs:moose, alexsmobs:raccoon, alexsmobs:rattlesnake, alexsmobs:snow_leopard, alexsmobs:tiger"
