"ID","Tagged objects"
"create:no_infinite_draining","astralsorcery:liquid_starlight"
"forge:biodiesel","immersiveengineering:biodiesel"
"forge:biofuel","industrialforegoing:biofuel, industrialforegoing:biofuel_fluid"
"forge:brine","mekanism:brine, mekanism:flowing_brine"
"forge:chlorine","mekanism:chlorine, mekanism:flowing_chlorine"
"forge:chocolate","create:flowing_chocolate, create:chocolate"
"forge:concrete","immersiveengineering:concrete"
"forge:creosote","immersiveengineering:creosote, thermal:creosote"
"forge:crude_oil","immersivepetroleum:oil, thermal:crude_oil"
"forge:diesel","immersivepetroleum:diesel, immersivepetroleum:diesel_sulfur"
"forge:diesel_sulfur","immersivepetroleum:diesel_sulfur"
"forge:ender","thermal:ender"
"forge:ethanol","immersiveengineering:ethanol"
"forge:ethene","mekanism:ethene, mekanism:flowing_ethene"
"forge:experience","industrialforegoing:essence, industrialforegoing:essence_fluid, cofh_core:experience"
"forge:gasoline","immersivepetroleum:gasoline"
"forge:glowstone","thermal:glowstone"
"forge:heavy_water","mekanism:heavy_water, mekanism:flowing_heavy_water"
"forge:herbicide","immersiveengineering:herbicide"
"forge:honey","cofh_core:honey, resourcefulbees:honey, resourcefulbees:catnip_honey, create:flowing_honey, create:honey, resourcefulbees:rainbow_honey_flowing, resourcefulbees:rainbow_honey"
"forge:hydrofluoric_acid","mekanism:hydrofluoric_acid, mekanism:flowing_hydrofluoric_acid"
"forge:hydrogen","mekanism:hydrogen, mekanism:flowing_hydrogen"
"forge:hydrogen_chloride","mekanism:hydrogen_chloride, mekanism:flowing_hydrogen_chloride"
"forge:latex","industrialforegoing:latex, industrialforegoing:latex_fluid, thermal:latex"
"forge:life","bloodmagic:life_essence_fluid, bloodmagic:life_essence_fluid_flowing"
"forge:lithium","mekanism:lithium, mekanism:flowing_lithium"
"forge:lubricant","immersivepetroleum:lubricant"
"forge:meat","industrialforegoing:meat, industrialforegoing:meat_fluid"
"forge:milk","minecraft:milk, minecraft:flowing_milk"
"forge:molten/aluminum","emendatusenigmatica:molten_aluminum"
"forge:molten/ancient_debris","emendatusenigmatica:molten_ancient_debris"
"forge:molten/apatite","emendatusenigmatica:molten_apatite"
"forge:molten/arcane","emendatusenigmatica:molten_arcane"
"forge:molten/bitumen","emendatusenigmatica:molten_bitumen"
"forge:molten/brass","emendatusenigmatica:molten_brass"
"forge:molten/bronze","emendatusenigmatica:molten_bronze"
"forge:molten/certus_quartz","emendatusenigmatica:molten_certus_quartz"
"forge:molten/charged_certus_quartz","emendatusenigmatica:molten_charged_certus_quartz"
"forge:molten/cinnabar","emendatusenigmatica:molten_cinnabar"
"forge:molten/cloggrum","emendatusenigmatica:molten_cloggrum"
"forge:molten/coal","emendatusenigmatica:molten_coal"
"forge:molten/cobalt","emendatusenigmatica:molten_cobalt"
"forge:molten/constantan","emendatusenigmatica:molten_constantan"
"forge:molten/copper","emendatusenigmatica:molten_copper"
"forge:molten/diamond","emendatusenigmatica:molten_diamond"
"forge:molten/dimensional","emendatusenigmatica:molten_dimensional"
"forge:molten/electrum","emendatusenigmatica:molten_electrum"
"forge:molten/emerald","emendatusenigmatica:molten_emerald"
"forge:molten/enderium","emendatusenigmatica:molten_enderium"
"forge:molten/fluix","emendatusenigmatica:molten_fluix"
"forge:molten/fluorite","emendatusenigmatica:molten_fluorite"
"forge:molten/froststeel","emendatusenigmatica:molten_froststeel"
"forge:molten/gold","emendatusenigmatica:molten_gold"
"forge:molten/iesnium","emendatusenigmatica:molten_iesnium"
"forge:molten/invar","emendatusenigmatica:molten_invar"
"forge:molten/iron","emendatusenigmatica:molten_iron"
"forge:molten/lapis","emendatusenigmatica:molten_lapis"
"forge:molten/lead","emendatusenigmatica:molten_lead"
"forge:molten/lumium","emendatusenigmatica:molten_lumium"
"forge:molten/nebu","emendatusenigmatica:molten_nebu"
"forge:molten/nickel","emendatusenigmatica:molten_nickel"
"forge:molten/osmium","emendatusenigmatica:molten_osmium"
"forge:molten/potassium_nitrate","emendatusenigmatica:molten_potassium_nitrate"
"forge:molten/quartz","emendatusenigmatica:molten_quartz"
"forge:molten/redstone","emendatusenigmatica:molten_redstone"
"forge:molten/regalium","emendatusenigmatica:molten_regalium"
"forge:molten/signalum","emendatusenigmatica:molten_signalum"
"forge:molten/silver","emendatusenigmatica:molten_silver"
"forge:molten/steel","emendatusenigmatica:molten_steel"
"forge:molten/sulfur","emendatusenigmatica:molten_sulfur"
"forge:molten/thallasium","emendatusenigmatica:molten_thallasium"
"forge:molten/tin","emendatusenigmatica:molten_tin"
"forge:molten/uranium","emendatusenigmatica:molten_uranium"
"forge:molten/utherium","emendatusenigmatica:molten_utherium"
"forge:molten/zinc","emendatusenigmatica:molten_zinc"
"forge:molten_aluminum","emendatusenigmatica:molten_aluminum"
"forge:molten_ancient_debris","emendatusenigmatica:molten_ancient_debris"
"forge:molten_apatite","emendatusenigmatica:molten_apatite"
"forge:molten_arcane","emendatusenigmatica:molten_arcane"
"forge:molten_bitumen","emendatusenigmatica:molten_bitumen"
"forge:molten_brass","emendatusenigmatica:molten_brass"
"forge:molten_bronze","emendatusenigmatica:molten_bronze"
"forge:molten_certus_quartz","emendatusenigmatica:molten_certus_quartz"
"forge:molten_charged_certus_quartz","emendatusenigmatica:molten_charged_certus_quartz"
"forge:molten_cinnabar","emendatusenigmatica:molten_cinnabar"
"forge:molten_cloggrum","emendatusenigmatica:molten_cloggrum"
"forge:molten_coal","emendatusenigmatica:molten_coal"
"forge:molten_cobalt","emendatusenigmatica:molten_cobalt"
"forge:molten_constantan","emendatusenigmatica:molten_constantan"
"forge:molten_copper","emendatusenigmatica:molten_copper"
"forge:molten_diamond","emendatusenigmatica:molten_diamond"
"forge:molten_dimensional","emendatusenigmatica:molten_dimensional"
"forge:molten_electrum","emendatusenigmatica:molten_electrum"
"forge:molten_emerald","emendatusenigmatica:molten_emerald"
"forge:molten_enderium","emendatusenigmatica:molten_enderium"
"forge:molten_fluix","emendatusenigmatica:molten_fluix"
"forge:molten_fluorite","emendatusenigmatica:molten_fluorite"
"forge:molten_froststeel","emendatusenigmatica:molten_froststeel"
"forge:molten_gold","emendatusenigmatica:molten_gold"
"forge:molten_iesnium","emendatusenigmatica:molten_iesnium"
"forge:molten_invar","emendatusenigmatica:molten_invar"
"forge:molten_iron","emendatusenigmatica:molten_iron"
"forge:molten_lapis","emendatusenigmatica:molten_lapis"
"forge:molten_lead","emendatusenigmatica:molten_lead"
"forge:molten_lumium","emendatusenigmatica:molten_lumium"
"forge:molten_nebu","emendatusenigmatica:molten_nebu"
"forge:molten_nickel","emendatusenigmatica:molten_nickel"
"forge:molten_osmium","emendatusenigmatica:molten_osmium"
"forge:molten_potassium_nitrate","emendatusenigmatica:molten_potassium_nitrate"
"forge:molten_quartz","emendatusenigmatica:molten_quartz"
"forge:molten_redstone","emendatusenigmatica:molten_redstone"
"forge:molten_regalium","emendatusenigmatica:molten_regalium"
"forge:molten_signalum","emendatusenigmatica:molten_signalum"
"forge:molten_silver","emendatusenigmatica:molten_silver"
"forge:molten_steel","emendatusenigmatica:molten_steel"
"forge:molten_sulfur","emendatusenigmatica:molten_sulfur"
"forge:molten_thallasium","emendatusenigmatica:molten_thallasium"
"forge:molten_tin","emendatusenigmatica:molten_tin"
"forge:molten_uranium","emendatusenigmatica:molten_uranium"
"forge:molten_utherium","emendatusenigmatica:molten_utherium"
"forge:molten_zinc","emendatusenigmatica:molten_zinc"
"forge:napalm","immersivepetroleum:napalm"
"forge:oxygen","mekanism:oxygen, mekanism:flowing_oxygen"
"forge:pink_slime","industrialforegoing:pink_slime, industrialforegoing:pink_slime_fluid"
"forge:plantoil","immersiveengineering:plantoil, createaddition:flowing_seed_oil, createaddition:seed_oil"
"forge:potion","immersiveengineering:potion, cofh_core:potion"
