"ID","Tagged objects"
"abnormals_delight:slabdish_ingredients","environmental:duckweed"
"abnormals_delight:slabdish_ingredients","farmersdelight:rice_panicle"
"abnormals_delight:slabdish_ingredients","minecraft:lily_pad"
"abnormals_delight:slabdish_ingredients","minecraft:seagrass"
"abundance:jacaranda_logs","abundance:jacaranda_log"
"abundance:jacaranda_logs","abundance:jacaranda_wood"
"abundance:jacaranda_logs","abundance:stripped_jacaranda_log"
"abundance:jacaranda_logs","abundance:stripped_jacaranda_wood"
"abundance:redbud_logs","abundance:flowering_redbud_log"
"abundance:redbud_logs","abundance:flowering_redbud_wood"
"abundance:redbud_logs","abundance:redbud_log"
"abundance:redbud_logs","abundance:redbud_wood"
"abundance:redbud_logs","abundance:stripped_redbud_log"
"abundance:redbud_logs","abundance:stripped_redbud_wood"
"abundance:small_marigolds","abundance:shady_marigold"
"abundance:small_marigolds","abundance:sunny_marigold"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:bear_fur"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:cachalot_whale_tooth"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:capsid"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:centipede_leg"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:cockroach_wing"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:crocodile_scute"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:dropbear_claw"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:emu_feather"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:gazelle_horn"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:komodo_spit"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:moose_antler"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:raccoon_tail"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:rattlesnake_rattle"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:roadrunner_feather"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:spiked_scute"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:straddlite"
"alexsmobs:bald_eagle_tameables","alexsmobs:fish_oil"
"alexsmobs:bananas","alexsmobs:banana"
"alexsmobs:bananas","pamhc2trees:bananaitem"
"alexsmobs:crow_foodstuffs","ars_nouveau:mana_bloom_crop"
"alexsmobs:crow_foodstuffs","autumnity:foul_berry_pips"
"alexsmobs:crow_foodstuffs","betterendforge:amber_root_seed"
"alexsmobs:crow_foodstuffs","betterendforge:blossom_berry_seed"
"alexsmobs:crow_foodstuffs","betterendforge:blue_vine_seed"
"alexsmobs:crow_foodstuffs","betterendforge:bulb_vine_seed"
"alexsmobs:crow_foodstuffs","betterendforge:chorus_mushroom_seed"
"alexsmobs:crow_foodstuffs","betterendforge:end_lily_seed"
"alexsmobs:crow_foodstuffs","betterendforge:end_lotus_seed"
"alexsmobs:crow_foodstuffs","betterendforge:glowing_pillar_seed"
"alexsmobs:crow_foodstuffs","betterendforge:hydralux_sapling"
"alexsmobs:crow_foodstuffs","betterendforge:lanceleaf_seed"
"alexsmobs:crow_foodstuffs","betterendforge:lumecorn_seed"
"alexsmobs:crow_foodstuffs","betterendforge:shadow_berry"
"alexsmobs:crow_foodstuffs","croptopia:artichoke_seed"
"alexsmobs:crow_foodstuffs","croptopia:asparagus_seed"
"alexsmobs:crow_foodstuffs","croptopia:barley_seed"
"alexsmobs:crow_foodstuffs","croptopia:basil_seed"
"alexsmobs:crow_foodstuffs","croptopia:bellpepper_seed"
"alexsmobs:crow_foodstuffs","croptopia:blackbean_seed"
"alexsmobs:crow_foodstuffs","croptopia:blackberry_seed"
"alexsmobs:crow_foodstuffs","croptopia:blueberry_seed"
"alexsmobs:crow_foodstuffs","croptopia:broccoli_seed"
