"ID","Tagged objects"
"abnormals_delight:slabdish_ingredients","minecraft:lily_pad, minecraft:seagrass, farmersdelight:rice_panicle, environmental:duckweed"
"abundance:jacaranda_logs","abundance:jacaranda_log, abundance:jacaranda_wood, abundance:stripped_jacaranda_log, abundance:stripped_jacaranda_wood"
"abundance:redbud_logs","abundance:redbud_log, abundance:redbud_wood, abundance:stripped_redbud_log, abundance:stripped_redbud_wood, abundance:flowering_redbud_log, abundance:flowering_redbud_wood"
"abundance:small_marigolds","abundance:sunny_marigold, abundance:shady_marigold"
"alexsmobs:animal_dictionary_ingredient","alexsmobs:crocodile_scute, alexsmobs:bear_fur, alexsmobs:roadrunner_feather, alexsmobs:gazelle_horn, alexsmobs:rattlesnake_rattle, alexsmobs:komodo_spit, alexsmobs:centipede_leg, alexsmobs:moose_antler, alexsmobs:raccoon_tail, alexsmobs:cockroach_wing, alexsmobs:spiked_scute, alexsmobs:straddlite, alexsmobs:emu_feather, alexsmobs:dropbear_claw, alexsmobs:cachalot_whale_tooth, alexsmobs:capsid"
"alexsmobs:bald_eagle_tameables","alexsmobs:fish_oil"
"alexsmobs:bananas","alexsmobs:banana, pamhc2trees:bananaitem"
"alexsmobs:crow_foodstuffs","minecraft:egg, minecraft:turtle_egg, minecraft:sugar, supplementaries:flax_seeds, betterendforge:blue_vine_seed, betterendforge:end_lily_seed, betterendforge:hydralux_sapling, betterendforge:lanceleaf_seed, betterendforge:lumecorn_seed, betterendforge:glowing_pillar_seed, betterendforge:shadow_berry, betterendforge:blossom_berry_seed, betterendforge:amber_root_seed, betterendforge:chorus_mushroom_seed, betterendforge:bulb_vine_seed, betterendforge:end_lotus_seed, silentgear:flax_seeds, silentgear:fluffy_seeds, jellyfishing:pineapple_seeds, immersiveengineering:seed, pamhc2crops:agaveseeditem, pamhc2crops:amaranthseeditem, pamhc2crops:arrowrootseeditem, pamhc2crops:artichokeseeditem, croptopia:artichoke_seed, pamhc2crops:asparagusseeditem, croptopia:asparagus_seed, pamhc2crops:barleyseeditem, croptopia:barley_seed, thermal:barley_seeds, pamhc2crops:beanseeditem, pamhc2crops:bellpepperseeditem, croptopia:bellpepper_seed, pamhc2crops:blackberryseeditem, croptopia:blackberry_seed, pamhc2crops:blueberryseeditem, croptopia:blueberry_seed, pamhc2crops:broccoliseeditem, croptopia:broccoli_seed, pamhc2crops:brusselsproutseeditem, pamhc2crops:cabbageseeditem, croptopia:cabbage_seed, farmersdelight:cabbage_seeds, pamhc2crops:cactusfruitseeditem, pamhc2crops:candleberryseeditem, pamhc2crops:cantaloupeseeditem, croptopia:cantaloupe_seed, pamhc2crops:cassavaseeditem, pamhc2crops:cauliflowerseeditem, croptopia:cauliflower_seed, pamhc2crops:celeryseeditem, croptopia:celery_seed, pamhc2crops:chickpeaseeditem, pamhc2crops:chilipepperseeditem, pamhc2crops:coffeebeanseeditem, pamhc2crops:cornseeditem, croptopia:corn_seed, thermal:corn_seeds, pamhc2crops:cottonseeditem, pamhc2crops:cranberryseeditem, croptopia:cranberry_seed, pamhc2crops:cucumberseeditem, croptopia:cucumber_seed, pamhc2crops:eggplantseeditem, croptopia:eggplant_seed, thermal:eggplant_seeds, pamhc2crops:elderberryseeditem, croptopia:elderberry_seed, pamhc2crops:flaxseeditem, thermal:flax_seeds, pamhc2crops:garlicseeditem, croptopia:garlic_seed, pamhc2crops:gingerseeditem, croptopia:ginger_seed, pamhc2crops:grapeseeditem, croptopia:grape_seed, pamhc2crops:greengrapeseeditem, pamhc2crops:huckleberryseeditem, pamhc2crops:jicamaseeditem, pamhc2crops:juniperberryseeditem, pamhc2crops:juteseeditem, pamhc2crops:kaleseeditem, croptopia:kale_seed, pamhc2crops:kenafseeditem, pamhc2crops:kiwiseeditem, croptopia:kiwi_seed, pamhc2crops:kohlrabiseeditem, pamhc2crops:leekseeditem, croptopia:leek_seed, pamhc2crops:lentilseeditem, pamhc2crops:lettuceseeditem, croptopia:lettuce_seed, pamhc2crops:milletseeditem, pamhc2crops:mulberryseeditem, pamhc2crops:mustardseedsseeditem, pamhc2crops:oatsseeditem, pamhc2crops:okraseeditem, pamhc2crops:onionseeditem, croptopia:onion_seed, thermal:onion_seeds, pamhc2crops:parsnipseeditem, pamhc2crops:peanutseeditem, croptopia:peanut_seed, thermal:peanut_seeds, pamhc2crops:peasseeditem, pamhc2crops:pineappleseeditem, croptopia:pineapple_seed, pamhc2crops:quinoaseeditem, pamhc2crops:radishseeditem, croptopia:radish_seed, thermal:radish_seeds, pamhc2crops:raspberryseeditem, croptopia:raspberry_seed, pamhc2crops:rhubarbseeditem, croptopia:rhubarb_seed, pamhc2crops:riceseeditem, croptopia:rice_seed, thermal:rice_seeds, farmersdelight:rice, pamhc2crops:rutabagaseeditem, croptopia:rutabaga_seed, pamhc2crops:ryeseeditem, pamhc2crops:scallionseeditem, pamhc2crops:sesameseedsseeditem, pamhc2crops:sisalseeditem, pamhc2crops:soybeanseeditem, croptopia:soybean_seed, pamhc2crops:spiceleafseeditem, pamhc2crops:spinachseeditem, croptopia:spinach_seed, thermal:spinach_seeds, pamhc2crops:strawberryseeditem, croptopia:strawberry_seed, thermal:strawberry_seeds, pamhc2crops:sweetpotatoseeditem, croptopia:sweetpotato_seed, pamhc2crops:taroseeditem, pamhc2crops:tealeafseeditem, pamhc2crops:tomatilloseeditem, croptopia:tomatillo_seed, pamhc2crops:tomatoseeditem, croptopia:tomato_seed, thermal:tomato_seeds, farmersdelight:tomato_seeds, pamhc2crops:turnipseeditem, croptopia:turnip_seed, pamhc2crops:waterchestnutseeditem, pamhc2crops:whitemushroomseeditem, pamhc2crops:wintersquashseeditem, pamhc2crops:zucchiniseeditem, croptopia:zucchini_seed, minecraft:beetroot_seeds, minecraft:melon_seeds, minecraft:pumpkin_seeds, minecraft:wheat_seeds, croptopia:basil_seed, croptopia:blackbean_seed, croptopia:chile_pepper_seed, croptopia:coffee_seed, thermal:coffee_seeds, croptopia:currant_seed, croptopia:greenbean_seed, croptopia:greenonion_seed, croptopia:honeydew_seed, croptopia:hops_seed, thermal:hops_seeds, croptopia:mustard_seed, croptopia:oat_seed, croptopia:olive_seed, croptopia:pepper_seed, croptopia:saguaro_seed, croptopia:squash_seed, croptopia:tea_seed, thermal:tea_seeds, croptopia:turmeric_seed, croptopia:yam_seed, thermal:bell_pepper_seeds, thermal:frost_melon_seeds, thermal:green_bean_seeds, thermal:sadiroot_seeds, ars_nouveau:mana_bloom_crop, autumnity:foul_berry_pips, silentgems:fluffy_puff_seeds"
"alexsmobs:elephant_foodstuffs","minecraft:jungle_leaves, minecraft:oak_leaves, minecraft:spruce_leaves, minecraft:dark_oak_leaves, minecraft:acacia_leaves, minecraft:birch_leaves, betterendforge:lacugrove_leaves, betterendforge:pythadendron_leaves, betterendforge:dragon_tree_leaves, betterendforge:tenanea_leaves, betterendforge:lucernia_leaves, biomesoplenty:origin_leaves, biomesoplenty:flowering_oak_leaves, biomesoplenty:rainbow_birch_leaves, biomesoplenty:yellow_autumn_leaves, biomesoplenty:orange_autumn_leaves, biomesoplenty:maple_leaves, biomesoplenty:fir_leaves, biomesoplenty:redwood_leaves, biomesoplenty:white_cherry_leaves, biomesoplenty:pink_cherry_leaves, biomesoplenty:mahogany_leaves, biomesoplenty:jacaranda_leaves, biomesoplenty:palm_leaves, biomesoplenty:willow_leaves, biomesoplenty:dead_leaves, biomesoplenty:magic_leaves, biomesoplenty:umbran_leaves, biomesoplenty:hellbark_leaves, silentgear:netherwood_leaves, integrateddynamics:menril_leaves, vampirism:vampire_spruce_leaves, vampirism:bloody_spruce_leaves, byg:baobab_leaves, byg:blooming_witch_hazel_leaves, byg:blue_enchanted_leaves, byg:blue_spruce_leaves, byg:brown_birch_leaves, byg:brown_oak_leaves, byg:cika_leaves, byg:cypress_leaves, byg:ebony_leaves, byg:fir_leaves, byg:flowering_orchard_leaves, byg:flowering_palo_verde_leaves, byg:green_enchanted_leaves, byg:holly_berry_leaves, byg:holly_leaves, byg:jacaranda_leaves, byg:joshua_leaves, byg:ripe_joshua_leaves, byg:indigo_jacaranda_leaves, byg:mahogany_leaves, byg:mangrove_leaves, byg:maple_leaves, byg:orange_birch_leaves, byg:orange_oak_leaves, byg:orange_spruce_leaves, byg:orchard_leaves, byg:palo_verde_leaves, byg:pine_leaves, byg:pink_cherry_leaves, byg:rainbow_eucalyptus_leaves, byg:red_birch_leaves, byg:red_maple_leaves, byg:red_oak_leaves, byg:red_spruce_leaves, byg:redwood_leaves, byg:ripe_orchard_leaves, byg:silver_maple_leaves, byg:skyris_leaves, byg:green_apple_skyris_leaves, byg:white_cherry_leaves, byg:willow_leaves, byg:witch_hazel_leaves, byg:yellow_birch_leaves, byg:yellow_spruce_leaves, byg:aspen_leaves, byg:zelkova_leaves, byg:palm_leaves, byg:araucaria_leaves, byg:brown_zelkova_leaves, byg:lament_leaves, byg:withering_oak_leaves, byg:ether_leaves, byg:nightshade_leaves, byg:flowering_nightshade_leaves, byg:flowering_jacaranda_leaves, byg:flowering_indigo_jacaranda_leaves, environmental:willow_leaves, environmental:cherry_leaves, environmental:pink_wisteria_leaves, environmental:blue_wisteria_leaves, environmental:purple_wisteria_leaves, environmental:white_wisteria_leaves, upgrade_aquatic:river_leaves, autumnity:maple_leaves, autumnity:red_maple_leaves, autumnity:orange_maple_leaves, autumnity:yellow_maple_leaves, fruitful:apple_oak_leaves, fruitful:flowering_oak_leaves, fruitful:blossoming_oak_leaves, fruitful:budding_oak_leaves, traverse:brown_autumnal_leaves, traverse:red_autumnal_leaves, traverse:yellow_autumnal_leaves, traverse:orange_autumnal_leaves, traverse:fir_leaves, abundance:jacaranda_leaves, abundance:budding_jacaranda_leaves, abundance:flowering_jacaranda_leaves, abundance:redbud_leaves, abundance:budding_redbud_leaves, abundance:flowering_redbud_leaves, minecraft:oak_sapling, minecraft:spruce_sapling, minecraft:birch_sapling, minecraft:jungle_sapling, minecraft:acacia_sapling, minecraft:dark_oak_sapling, betterendforge:mossy_glowshroom_sapling, betterendforge:lacugrove_sapling, betterendforge:pythadendron_sapling, betterendforge:dragon_tree_sapling, betterendforge:tenanea_sapling, betterendforge:helix_tree_sapling, betterendforge:umbrella_tree_sapling, betterendforge:lucernia_sapling, biomesoplenty:origin_sapling, biomesoplenty:flowering_oak_sapling, biomesoplenty:rainbow_birch_sapling, biomesoplenty:yellow_autumn_sapling, biomesoplenty:orange_autumn_sapling, biomesoplenty:maple_sapling, biomesoplenty:fir_sapling, biomesoplenty:redwood_sapling, biomesoplenty:white_cherry_sapling, biomesoplenty:pink_cherry_sapling, biomesoplenty:mahogany_sapling, biomesoplenty:jacaranda_sapling, biomesoplenty:palm_sapling, biomesoplenty:willow_sapling, biomesoplenty:dead_sapling, biomesoplenty:magic_sapling, biomesoplenty:umbran_sapling, biomesoplenty:hellbark_sapling, silentgear:netherwood_sapling, integrateddynamics:menril_sapling, betterendforge:hydralux_sapling, croptopia:almond_sapling, croptopia:apple_sapling, croptopia:apricot_sapling, croptopia:avocado_sapling, croptopia:banana_sapling, croptopia:cashew_sapling, croptopia:cherry_sapling, croptopia:coconut_sapling, croptopia:date_sapling, croptopia:dragonfruit_sapling, croptopia:fig_sapling, croptopia:grapefruit_sapling, croptopia:kumquat_sapling, croptopia:lemon_sapling, croptopia:lime_sapling, croptopia:mango_sapling, croptopia:nectarine_sapling, croptopia:nutmeg_sapling, croptopia:orange_sapling, croptopia:peach_sapling, croptopia:pear_sapling, croptopia:pecan_sapling, croptopia:persimmon_sapling, croptopia:plum_sapling, croptopia:starfruit_sapling, croptopia:walnut_sapling, byg:aspen_sapling, byg:baobab_sapling, byg:blue_enchanted_sapling, byg:blue_spruce_sapling, byg:brown_birch_sapling, byg:brown_oak_sapling, byg:cika_sapling, byg:cypress_sapling, byg:ebony_sapling, byg:fir_sapling, byg:green_enchanted_sapling, byg:holly_sapling, byg:jacaranda_sapling, byg:indigo_jacaranda_sapling, byg:mahogany_sapling, byg:mangrove_sapling, byg:maple_sapling, byg:orange_birch_sapling, byg:orange_oak_sapling, byg:orange_spruce_sapling, byg:orchard_sapling, byg:palo_verde_sapling, byg:joshua_sapling, byg:yellow_spruce_sapling, byg:pine_sapling, byg:pink_cherry_sapling, byg:rainbow_eucalyptus_sapling, byg:red_birch_sapling, byg:red_maple_sapling, byg:red_oak_sapling, byg:red_spruce_sapling, byg:redwood_sapling, byg:silver_maple_sapling, byg:white_cherry_sapling, byg:willow_sapling, byg:witch_hazel_sapling, byg:yellow_birch_sapling, byg:zelkova_sapling, byg:skyris_sapling, byg:palm_sapling, byg:araucaria_sapling, byg:brown_zelkova_sapling, byg:lament_sapling, byg:withering_oak_sapling, byg:ether_sapling, byg:nightshade_sapling, vampirism:bloody_spruce_sapling, ars_nouveau:blue_archwood_sapling, ars_nouveau:red_archwood_sapling, ars_nouveau:green_archwood_sapling, ars_nouveau:purple_archwood_sapling, environmental:willow_sapling, environmental:cherry_sapling, environmental:pink_wisteria_sapling, environmental:blue_wisteria_sapling, environmental:white_wisteria_sapling, environmental:purple_wisteria_sapling, upgrade_aquatic:river_sapling, autumnity:maple_sapling, autumnity:red_maple_sapling, autumnity:orange_maple_sapling, autumnity:yellow_maple_sapling, fruitful:flowering_oak_sapling, traverse:brown_autumnal_sapling, traverse:red_autumnal_sapling, traverse:yellow_autumnal_sapling, traverse:orange_autumnal_sapling, traverse:fir_sapling, abundance:jacaranda_sapling, abundance:redbud_sapling, abundance:flowering_redbud_sapling, minecraft:sugar_cane, minecraft:apple, minecraft:beetroot, minecraft:potato, minecraft:carrot, minecraft:golden_carrot, minecraft:baked_potato, minecraft:hay_block, minecraft:bamboo, alexsmobs:banana, pamhc2trees:bananaitem, alexsmobs:acacia_blossom, minecraft:melon_slice, minecraft:sweet_berries"
"alexsmobs:gorilla_foodstuffs","minecraft:jungle_leaves, minecraft:oak_leaves, minecraft:spruce_leaves, minecraft:dark_oak_leaves, minecraft:acacia_leaves, minecraft:birch_leaves, betterendforge:lacugrove_leaves, betterendforge:pythadendron_leaves, betterendforge:dragon_tree_leaves, betterendforge:tenanea_leaves, betterendforge:lucernia_leaves, biomesoplenty:origin_leaves, biomesoplenty:flowering_oak_leaves, biomesoplenty:rainbow_birch_leaves, biomesoplenty:yellow_autumn_leaves, biomesoplenty:orange_autumn_leaves, biomesoplenty:maple_leaves, biomesoplenty:fir_leaves, biomesoplenty:redwood_leaves, biomesoplenty:white_cherry_leaves, biomesoplenty:pink_cherry_leaves, biomesoplenty:mahogany_leaves, biomesoplenty:jacaranda_leaves, biomesoplenty:palm_leaves, biomesoplenty:willow_leaves, biomesoplenty:dead_leaves, biomesoplenty:magic_leaves, biomesoplenty:umbran_leaves, biomesoplenty:hellbark_leaves, silentgear:netherwood_leaves, integrateddynamics:menril_leaves, vampirism:vampire_spruce_leaves, vampirism:bloody_spruce_leaves, byg:baobab_leaves, byg:blooming_witch_hazel_leaves, byg:blue_enchanted_leaves, byg:blue_spruce_leaves, byg:brown_birch_leaves, byg:brown_oak_leaves, byg:cika_leaves, byg:cypress_leaves, byg:ebony_leaves, byg:fir_leaves, byg:flowering_orchard_leaves, byg:flowering_palo_verde_leaves, byg:green_enchanted_leaves, byg:holly_berry_leaves, byg:holly_leaves, byg:jacaranda_leaves, byg:joshua_leaves, byg:ripe_joshua_leaves, byg:indigo_jacaranda_leaves, byg:mahogany_leaves, byg:mangrove_leaves, byg:maple_leaves, byg:orange_birch_leaves, byg:orange_oak_leaves, byg:orange_spruce_leaves, byg:orchard_leaves, byg:palo_verde_leaves, byg:pine_leaves, byg:pink_cherry_leaves, byg:rainbow_eucalyptus_leaves, byg:red_birch_leaves, byg:red_maple_leaves, byg:red_oak_leaves, byg:red_spruce_leaves, byg:redwood_leaves, byg:ripe_orchard_leaves, byg:silver_maple_leaves, byg:skyris_leaves, byg:green_apple_skyris_leaves, byg:white_cherry_leaves, byg:willow_leaves, byg:witch_hazel_leaves, byg:yellow_birch_leaves, byg:yellow_spruce_leaves, byg:aspen_leaves, byg:zelkova_leaves, byg:palm_leaves, byg:araucaria_leaves, byg:brown_zelkova_leaves, byg:lament_leaves, byg:withering_oak_leaves, byg:ether_leaves, byg:nightshade_leaves, byg:flowering_nightshade_leaves, byg:flowering_jacaranda_leaves, byg:flowering_indigo_jacaranda_leaves, environmental:willow_leaves, environmental:cherry_leaves, environmental:pink_wisteria_leaves, environmental:blue_wisteria_leaves, environmental:purple_wisteria_leaves, environmental:white_wisteria_leaves, upgrade_aquatic:river_leaves, autumnity:maple_leaves, autumnity:red_maple_leaves, autumnity:orange_maple_leaves, autumnity:yellow_maple_leaves, fruitful:apple_oak_leaves, fruitful:flowering_oak_leaves, fruitful:blossoming_oak_leaves, fruitful:budding_oak_leaves, traverse:brown_autumnal_leaves, traverse:red_autumnal_leaves, traverse:yellow_autumnal_leaves, traverse:orange_autumnal_leaves, traverse:fir_leaves, abundance:jacaranda_leaves, abundance:budding_jacaranda_leaves, abundance:flowering_jacaranda_leaves, abundance:redbud_leaves, abundance:budding_redbud_leaves, abundance:flowering_redbud_leaves, minecraft:sugar_cane, minecraft:apple, minecraft:bamboo, alexsmobs:banana, pamhc2trees:bananaitem"
